OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,2,0,48,0,2
0,DEGREE,2,0,48,0,2
0,PROTECTION,2,0,42,0,8
1,PROXIMITY,2,0,47,0,3
1,DEGREE,2,0,47,0,3
1,PROTECTION,2,0,43,0,7
2,PROXIMITY,2,0,49,0,1
2,DEGREE,2,0,49,0,1
2,PROTECTION,2,0,43,0,7
3,PROXIMITY,2,0,49,0,1
3,DEGREE,2,0,49,0,1
3,PROTECTION,2,0,41,0,9
4,PROXIMITY,2,0,49,0,1
4,DEGREE,2,0,49,0,1
4,PROTECTION,2,0,42,0,8
5,PROXIMITY,2,0,48,0,2
5,DEGREE,2,0,48,0,2
5,PROTECTION,2,0,41,0,9
6,PROXIMITY,2,0,48,0,2
6,DEGREE,2,0,48,0,2
6,PROTECTION,2,0,41,0,9
7,PROXIMITY,2,0,49,0,1
7,DEGREE,2,0,49,0,1
7,PROTECTION,2,0,39,0,11
8,PROXIMITY,2,0,48,0,2
8,DEGREE,2,0,48,0,2
8,PROTECTION,2,0,43,0,7
9,PROXIMITY,2,0,48,0,2
9,DEGREE,2,0,48,0,2
9,PROTECTION,2,0,41,0,9
10,PROXIMITY,2,0,47,0,3
10,DEGREE,2,0,47,0,3
10,PROTECTION,2,0,42,0,8
11,PROXIMITY,2,0,48,0,2
11,DEGREE,2,0,48,0,2
11,PROTECTION,2,0,43,0,7
12,PROXIMITY,2,0,49,0,1
12,DEGREE,2,0,49,0,1
12,PROTECTION,2,0,39,0,11
13,PROXIMITY,2,0,49,0,1
13,DEGREE,2,0,49,0,1
13,PROTECTION,2,0,42,0,8
14,PROXIMITY,2,0,49,0,1
14,DEGREE,2,0,49,0,1
14,PROTECTION,2,0,42,0,8
15,PROXIMITY,2,0,47,0,3
15,DEGREE,2,0,47,0,3
15,PROTECTION,2,0,38,0,12
16,PROXIMITY,2,0,49,0,1
16,DEGREE,2,0,49,0,1
16,PROTECTION,2,0,45,0,5
17,PROXIMITY,2,0,49,0,1
17,DEGREE,2,0,49,0,1
17,PROTECTION,2,0,42,0,8
18,PROXIMITY,2,0,48,0,2
18,DEGREE,2,0,48,0,2
18,PROTECTION,2,0,41,0,9
19,PROXIMITY,2,0,49,0,1
19,DEGREE,2,0,49,0,1
19,PROTECTION,2,0,40,0,10
20,PROXIMITY,2,0,48,0,2
20,DEGREE,2,0,48,0,2
20,PROTECTION,2,0,40,0,10
21,PROXIMITY,2,0,49,0,1
21,DEGREE,2,0,49,0,1
21,PROTECTION,2,0,38,0,12
22,PROXIMITY,2,0,49,0,1
22,DEGREE,2,0,49,0,1
22,PROTECTION,2,0,43,0,7
23,PROXIMITY,2,0,49,0,1
23,DEGREE,2,0,49,0,1
23,PROTECTION,2,0,43,0,7
24,PROXIMITY,2,0,48,0,2
24,DEGREE,2,0,48,0,2
24,PROTECTION,2,0,43,0,7
25,PROXIMITY,2,0,47,0,3
25,DEGREE,2,0,47,0,3
25,PROTECTION,2,0,36,0,14
26,PROXIMITY,2,0,48,0,2
26,DEGREE,2,0,48,0,2
26,PROTECTION,2,0,42,0,8
27,PROXIMITY,2,0,48,0,2
27,DEGREE,2,0,48,0,2
27,PROTECTION,2,0,42,0,8
28,PROXIMITY,2,0,48,0,2
28,DEGREE,2,0,48,0,2
28,PROTECTION,2,0,38,0,12
29,PROXIMITY,2,0,49,0,1
29,DEGREE,2,0,49,0,1
29,PROTECTION,2,0,42,0,8
30,PROXIMITY,2,0,47,0,3
30,DEGREE,2,0,47,0,3
30,PROTECTION,2,0,41,0,9
31,PROXIMITY,2,0,49,0,1
31,DEGREE,2,0,49,0,1
31,PROTECTION,2,0,42,0,8
32,PROXIMITY,2,0,49,0,1
32,DEGREE,2,0,49,0,1
32,PROTECTION,2,0,38,0,12
33,PROXIMITY,2,0,48,0,2
33,DEGREE,2,0,48,0,2
33,PROTECTION,2,0,41,0,9
34,PROXIMITY,2,0,49,0,1
34,DEGREE,2,0,49,0,1
34,PROTECTION,2,0,42,0,8
35,PROXIMITY,2,0,48,0,2
35,DEGREE,2,0,48,0,2
35,PROTECTION,2,0,40,0,10
36,PROXIMITY,2,0,48,0,2
36,DEGREE,2,0,48,0,2
36,PROTECTION,2,0,38,0,12
37,PROXIMITY,2,0,48,0,2
37,DEGREE,2,0,48,0,2
37,PROTECTION,2,0,43,0,7
38,PROXIMITY,2,0,48,0,2
38,DEGREE,2,0,48,0,2
38,PROTECTION,2,0,41,0,9
39,PROXIMITY,2,0,49,0,1
39,DEGREE,2,0,49,0,1
39,PROTECTION,2,0,42,0,8
40,PROXIMITY,2,0,47,0,3
40,DEGREE,2,0,47,0,3
40,PROTECTION,2,0,40,0,10
41,PROXIMITY,2,0,48,0,2
41,DEGREE,2,0,48,0,2
41,PROTECTION,2,0,42,0,8
42,PROXIMITY,2,0,48,0,2
42,DEGREE,2,0,48,0,2
42,PROTECTION,2,0,42,0,8
43,PROXIMITY,2,0,49,0,1
43,DEGREE,2,0,49,0,1
43,PROTECTION,2,0,43,0,7
44,PROXIMITY,2,0,48,0,2
44,DEGREE,2,0,48,0,2
44,PROTECTION,2,0,38,0,12
45,PROXIMITY,2,0,47,0,3
45,DEGREE,2,0,47,0,3
