OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,2,0,19,0,1
0,DEGREE,2,0,19,0,1
0,PROTECTION,2,0,14,0,6
1,PROXIMITY,2,0,19,0,1
1,DEGREE,2,0,19,0,1
1,PROTECTION,2,0,16,0,4
2,PROXIMITY,2,0,17,0,3
2,DEGREE,2,0,17,0,3
2,PROTECTION,2,0,13,0,7
3,PROXIMITY,2,0,18,0,2
3,DEGREE,2,0,18,0,2
3,PROTECTION,2,0,13,0,7
4,PROXIMITY,2,0,18,0,2
4,DEGREE,2,0,18,0,2
4,PROTECTION,2,0,14,0,6
5,PROXIMITY,2,0,19,0,1
5,DEGREE,2,0,19,0,1
5,PROTECTION,2,0,15,0,5
6,PROXIMITY,2,0,19,0,1
6,DEGREE,2,0,19,0,1
6,PROTECTION,2,0,16,0,4
7,PROXIMITY,2,0,16,0,4
7,DEGREE,2,0,16,0,4
7,PROTECTION,2,0,13,0,7
8,PROXIMITY,2,0,17,0,3
8,DEGREE,2,0,17,0,3
8,PROTECTION,2,0,13,0,7
9,PROXIMITY,2,0,17,0,3
9,DEGREE,2,0,17,0,3
9,PROTECTION,2,0,14,0,6
10,PROXIMITY,2,0,18,0,2
10,DEGREE,2,0,18,0,2
10,PROTECTION,2,0,15,0,5
11,PROXIMITY,2,0,18,0,2
11,DEGREE,2,0,18,0,2
11,PROTECTION,2,0,14,0,6
12,PROXIMITY,2,0,18,0,2
12,DEGREE,2,0,18,0,2
12,PROTECTION,2,0,16,0,4
13,PROXIMITY,2,0,18,0,2
13,DEGREE,2,0,18,0,2
13,PROTECTION,2,0,14,0,6
14,PROXIMITY,2,0,19,0,1
14,DEGREE,2,0,19,0,1
14,PROTECTION,2,0,15,0,5
15,PROXIMITY,2,0,18,0,2
15,DEGREE,2,0,18,0,2
15,PROTECTION,2,0,16,0,4
16,PROXIMITY,2,0,18,0,2
16,DEGREE,2,0,18,0,2
16,PROTECTION,2,0,14,0,6
17,PROXIMITY,2,0,19,0,1
17,DEGREE,2,0,19,0,1
17,PROTECTION,2,0,16,0,4
18,PROXIMITY,2,0,19,0,1
18,DEGREE,2,0,19,0,1
18,PROTECTION,2,0,13,0,7
19,PROXIMITY,2,0,19,0,1
19,DEGREE,2,0,19,0,1
19,PROTECTION,2,0,13,0,7

