OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,2,0,49,0,1
0,DEGREE,2,0,49,0,1
0,PROTECTION,2,0,42,0,8
1,PROXIMITY,2,0,48,0,2
1,DEGREE,2,0,48,0,2
1,PROTECTION,2,0,42,0,8
2,PROXIMITY,2,0,49,0,1
2,DEGREE,2,0,49,0,1
2,PROTECTION,2,0,40,0,10
3,PROXIMITY,2,0,47,0,3
3,DEGREE,2,0,47,0,3
3,PROTECTION,2,0,43,0,7
4,PROXIMITY,2,0,49,0,1
4,DEGREE,2,0,49,0,1
4,PROTECTION,2,0,42,0,8
5,PROXIMITY,2,0,48,0,2
5,DEGREE,2,0,48,0,2
5,PROTECTION,2,0,42,0,8
6,PROXIMITY,2,0,49,0,1
6,DEGREE,2,0,49,0,1
6,PROTECTION,2,0,39,0,11
7,PROXIMITY,2,0,49,0,1
7,DEGREE,2,0,49,0,1
7,PROTECTION,2,0,37,0,13
8,PROXIMITY,2,0,49,0,1
8,DEGREE,2,0,49,0,1
8,PROTECTION,2,0,41,0,9
9,PROXIMITY,2,0,49,0,1
9,DEGREE,2,0,49,0,1
9,PROTECTION,2,0,42,0,8
10,PROXIMITY,2,0,49,0,1
10,DEGREE,2,0,49,0,1
10,PROTECTION,2,0,41,0,9
11,PROXIMITY,2,0,47,0,3
11,DEGREE,2,0,47,0,3
11,PROTECTION,2,0,43,0,7
12,PROXIMITY,2,0,48,0,2
12,DEGREE,2,0,48,0,2
12,PROTECTION,2,0,40,0,10
13,PROXIMITY,2,0,47,0,3
13,DEGREE,2,0,47,0,3
13,PROTECTION,2,0,38,0,12
14,PROXIMITY,2,0,48,0,2
14,DEGREE,2,0,48,0,2
14,PROTECTION,2,0,43,0,7
15,PROXIMITY,2,0,49,0,1
15,DEGREE,2,0,49,0,1
15,PROTECTION,2,0,43,0,7
16,PROXIMITY,2,0,49,0,1
16,DEGREE,2,0,49,0,1
16,PROTECTION,2,0,42,0,8
17,PROXIMITY,2,0,49,0,1
17,DEGREE,2,0,49,0,1
17,PROTECTION,2,0,43,0,7
18,PROXIMITY,2,0,49,0,1
18,DEGREE,2,0,49,0,1
18,PROTECTION,2,0,43,0,7
19,PROXIMITY,2,0,49,0,1
19,DEGREE,2,0,49,0,1
19,PROTECTION,2,0,42,0,8
20,PROXIMITY,2,0,49,0,1
20,DEGREE,2,0,49,0,1
20,PROTECTION,2,0,42,0,8
21,PROXIMITY,2,0,49,0,1
21,DEGREE,2,0,49,0,1
21,PROTECTION,2,0,43,0,7
22,PROXIMITY,2,0,49,0,1
22,DEGREE,2,0,49,0,1
22,PROTECTION,2,0,40,0,10
23,PROXIMITY,2,0,49,0,1
23,DEGREE,2,0,49,0,1
23,PROTECTION,2,0,43,0,7
24,PROXIMITY,2,0,47,0,3
24,DEGREE,2,0,47,0,3
24,PROTECTION,2,0,39,0,11
25,PROXIMITY,2,0,49,0,1
25,DEGREE,2,0,49,0,1
25,PROTECTION,2,0,41,0,9
26,PROXIMITY,2,0,49,0,1
26,DEGREE,2,0,49,0,1
26,PROTECTION,2,0,43,0,7
27,PROXIMITY,2,0,48,0,2
27,DEGREE,2,0,48,0,2
27,PROTECTION,2,0,43,0,7
28,PROXIMITY,2,0,48,0,2
28,DEGREE,2,0,48,0,2
28,PROTECTION,2,0,40,0,10
29,PROXIMITY,2,0,48,0,2
29,DEGREE,2,0,48,0,2
29,PROTECTION,2,0,42,0,8
30,PROXIMITY,2,0,49,0,1
30,DEGREE,2,0,49,0,1
30,PROTECTION,2,0,43,0,7
31,PROXIMITY,2,0,48,0,2
31,DEGREE,2,0,48,0,2
31,PROTECTION,2,0,39,0,11
32,PROXIMITY,2,0,49,0,1
32,DEGREE,2,0,49,0,1
