OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,2,0,48,0,2
0,DEGREE,2,0,48,0,2
0,PROTECTION,2,0,41,0,9
1,PROXIMITY,2,0,49,0,1
1,DEGREE,2,0,49,0,1
1,PROTECTION,2,0,41,0,9
2,PROXIMITY,2,0,49,0,1
2,DEGREE,2,0,49,0,1
2,PROTECTION,2,0,42,0,8
3,PROXIMITY,2,0,49,0,1
3,DEGREE,2,0,49,0,1
3,PROTECTION,2,0,42,0,8
4,PROXIMITY,2,0,49,0,1
4,DEGREE,2,0,49,0,1
4,PROTECTION,2,0,42,0,8
5,PROXIMITY,2,0,48,0,2
5,DEGREE,2,0,48,0,2
5,PROTECTION,2,0,40,0,10
6,PROXIMITY,2,0,47,0,3
6,DEGREE,2,0,47,0,3
6,PROTECTION,2,0,44,0,6
7,PROXIMITY,2,0,48,0,2
7,DEGREE,2,0,48,0,2
7,PROTECTION,2,0,40,0,10
8,PROXIMITY,2,0,48,0,2
8,DEGREE,2,0,48,0,2
8,PROTECTION,2,0,39,0,11
9,PROXIMITY,2,0,48,0,2
9,DEGREE,2,0,48,0,2
9,PROTECTION,2,0,40,0,10
10,PROXIMITY,2,0,48,0,2
10,DEGREE,2,0,48,0,2
10,PROTECTION,2,0,42,0,8
11,PROXIMITY,2,0,47,0,3
11,DEGREE,2,0,47,0,3
11,PROTECTION,2,0,40,0,10
12,PROXIMITY,2,0,47,0,3
12,DEGREE,2,0,47,0,3
12,PROTECTION,2,0,40,0,10
13,PROXIMITY,2,0,47,0,3
13,DEGREE,2,0,47,0,3
13,PROTECTION,2,0,40,0,10
14,PROXIMITY,2,0,48,0,2
14,DEGREE,2,0,48,0,2
14,PROTECTION,2,0,41,0,9
15,PROXIMITY,2,0,48,0,2
15,DEGREE,2,0,48,0,2
15,PROTECTION,2,0,43,0,7
16,PROXIMITY,2,0,49,0,1
16,DEGREE,2,0,49,0,1
16,PROTECTION,2,0,41,0,9
17,PROXIMITY,2,0,49,0,1
17,DEGREE,2,0,49,0,1
17,PROTECTION,2,0,38,0,12
18,PROXIMITY,2,0,48,0,2
18,DEGREE,2,0,48,0,2
18,PROTECTION,2,0,38,0,12
19,PROXIMITY,2,0,46,0,4
19,DEGREE,2,0,46,0,4
19,PROTECTION,2,0,39,0,11
20,PROXIMITY,2,0,49,0,1
20,DEGREE,2,0,49,0,1
20,PROTECTION,2,0,40,0,10
21,PROXIMITY,2,0,49,0,1
21,DEGREE,2,0,49,0,1
21,PROTECTION,2,0,38,0,12
22,PROXIMITY,2,0,49,0,1
22,DEGREE,2,0,49,0,1
22,PROTECTION,2,0,42,0,8
23,PROXIMITY,2,0,49,0,1
23,DEGREE,2,0,49,0,1
23,PROTECTION,2,0,41,0,9
24,PROXIMITY,2,0,49,0,1
24,DEGREE,2,0,49,0,1
24,PROTECTION,2,0,39,0,11
25,PROXIMITY,2,0,49,0,1
25,DEGREE,2,0,49,0,1
25,PROTECTION,2,0,41,0,9
26,PROXIMITY,2,0,49,0,1
26,DEGREE,2,0,49,0,1
26,PROTECTION,2,0,42,0,8
27,PROXIMITY,2,0,47,0,3
27,DEGREE,2,0,47,0,3
27,PROTECTION,2,0,40,0,10
28,PROXIMITY,2,0,49,0,1
28,DEGREE,2,0,49,0,1
28,PROTECTION,2,0,41,0,9
29,PROXIMITY,2,0,48,0,2
29,DEGREE,2,0,48,0,2
29,PROTECTION,2,0,41,0,9
30,PROXIMITY,2,0,48,0,2
30,DEGREE,2,0,48,0,2
30,PROTECTION,2,0,41,0,9
31,PROXIMITY,2,0,47,0,3
31,DEGREE,2,0,47,0,3
31,PROTECTION,2,0,37,0,13
32,PROXIMITY,2,0,49,0,1
32,DEGREE,2,0,49,0,1
32,PROTECTION,2,0,40,0,10
33,PROXIMITY,2,0,48,0,2
33,DEGREE,2,0,48,0,2
33,PROTECTION,2,0,40,0,10
34,PROXIMITY,2,0,49,0,1
34,DEGREE,2,0,49,0,1
34,PROTECTION,2,0,42,0,8
35,PROXIMITY,2,0,49,0,1
35,DEGREE,2,0,49,0,1
35,PROTECTION,2,0,42,0,8
36,PROXIMITY,2,0,47,0,3
36,DEGREE,2,0,47,0,3
36,PROTECTION,2,0,41,0,9
37,PROXIMITY,2,0,49,0,1
37,DEGREE,2,0,49,0,1
37,PROTECTION,2,0,40,0,10
38,PROXIMITY,2,0,49,0,1
38,DEGREE,2,0,49,0,1
38,PROTECTION,2,0,41,0,9
39,PROXIMITY,2,0,49,0,1
39,DEGREE,2,0,49,0,1
39,PROTECTION,2,0,43,0,7
40,PROXIMITY,2,0,48,0,2
40,DEGREE,2,0,48,0,2
40,PROTECTION,2,0,40,0,10
41,PROXIMITY,2,0,48,0,2
41,DEGREE,2,0,48,0,2
41,PROTECTION,2,0,41,0,9
42,PROXIMITY,2,0,49,0,1
42,DEGREE,2,0,49,0,1
42,PROTECTION,2,0,39,0,11
43,PROXIMITY,2,0,48,0,2
43,DEGREE,2,0,48,0,2
43,PROTECTION,2,0,42,0,8
44,PROXIMITY,2,0,49,0,1
44,DEGREE,2,0,49,0,1
44,PROTECTION,2,0,39,0,11
45,PROXIMITY,2,0,49,0,1
45,DEGREE,2,0,49,0,1
