OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,13,0,1,0,19
0,DEGREE,13,0,1,0,19
0,PROTECTION,17,0,1,0,19
1,PROXIMITY,0,0,1,0,19
1,DEGREE,0,0,1,0,19
1,PROTECTION,0,0,1,0,19
2,PROXIMITY,9,0,1,0,19
2,DEGREE,9,0,5,0,15
2,PROTECTION,13,0,1,0,19
3,PROXIMITY,17,0,1,0,19
3,DEGREE,17,0,2,0,18
3,PROTECTION,19,0,1,0,19
4,PROXIMITY,15,0,1,0,19
4,DEGREE,15,0,1,0,19
4,PROTECTION,19,0,1,0,19
5,PROXIMITY,0,0,1,0,19
5,DEGREE,0,0,1,0,19
5,PROTECTION,0,0,1,0,19
6,PROXIMITY,13,0,1,0,19
6,DEGREE,13,0,1,0,19
6,PROTECTION,19,0,1,0,19
7,PROXIMITY,0,0,1,0,19
7,DEGREE,0,0,1,0,19
7,PROTECTION,0,0,1,0,19
8,PROXIMITY,13,0,1,0,19
8,DEGREE,13,0,4,0,16
8,PROTECTION,15,0,1,0,19
9,PROXIMITY,15,0,1,0,19
9,DEGREE,15,0,1,0,19
9,PROTECTION,17,0,1,0,19
10,PROXIMITY,17,0,1,0,19
10,DEGREE,17,0,1,0,19
10,PROTECTION,19,0,1,0,19
11,PROXIMITY,13,0,1,0,19
11,DEGREE,13,0,4,0,16
11,PROTECTION,15,0,1,0,19
12,PROXIMITY,0,0,1,0,19
12,DEGREE,0,0,1,0,19
12,PROTECTION,0,0,1,0,19
13,PROXIMITY,13,0,1,0,19
13,DEGREE,13,0,1,0,19
13,PROTECTION,17,0,1,0,19
14,PROXIMITY,15,0,1,0,19
14,DEGREE,15,0,1,0,19
14,PROTECTION,17,0,1,0,19
15,PROXIMITY,0,0,1,0,19
15,DEGREE,0,0,1,0,19
15,PROTECTION,0,0,1,0,19
16,PROXIMITY,13,0,1,0,19
16,DEGREE,13,0,3,0,17
16,PROTECTION,17,0,1,0,19
17,PROXIMITY,15,0,1,0,19
17,DEGREE,15,0,2,0,18
17,PROTECTION,17,0,1,0,19
18,PROXIMITY,11,0,1,0,19
18,DEGREE,11,0,3,0,17
18,PROTECTION,17,0,1,0,19
19,PROXIMITY,0,0,1,0,19
19,DEGREE,0,0,1,0,19
19,PROTECTION,0,0,1,0,19

