OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,15,0,2,0,18
0,DEGREE,11,0,6,0,14
0,PROTECTION,7,0,7,0,13
0,RANDOM,10,0,5,0,15
1,PROXIMITY,11,0,9,0,11
1,DEGREE,17,0,4,0,16
1,PROTECTION,9,0,8,0,12
1,RANDOM,9,0,11,0,9
2,PROXIMITY,9,0,9,0,11
2,DEGREE,13,0,9,0,11
2,PROTECTION,9,0,8,0,12
2,RANDOM,9,0,12,0,8
3,PROXIMITY,11,0,8,0,12
3,DEGREE,11,0,9,0,11
3,PROTECTION,8,0,9,0,11
3,RANDOM,9,0,10,0,10
4,PROXIMITY,21,0,1,0,19
4,DEGREE,11,0,6,0,14
4,PROTECTION,7,0,9,0,11
4,RANDOM,9,0,9,0,11
5,PROXIMITY,17,0,5,0,15
5,DEGREE,15,0,4,0,16
5,PROTECTION,7,0,9,0,11
5,RANDOM,11,0,9,0,11
6,PROXIMITY,9,0,10,0,10
6,DEGREE,15,0,6,0,14
6,PROTECTION,7,0,8,0,12
6,RANDOM,9,0,8,0,12
7,PROXIMITY,17,0,3,0,17
7,DEGREE,9,0,10,0,10
7,PROTECTION,13,0,6,0,14
7,RANDOM,11,0,10,0,10
8,PROXIMITY,23,0,4,0,16
8,DEGREE,21,0,7,0,13
8,PROTECTION,9,0,10,0,10
8,RANDOM,11,0,13,0,7
9,PROXIMITY,13,0,10,0,10
9,DEGREE,13,0,7,0,13
9,PROTECTION,11,0,7,0,13
9,RANDOM,11,0,9,0,11
10,PROXIMITY,15,0,4,0,16
10,DEGREE,13,0,5,0,15
10,PROTECTION,9,0,6,0,14
10,RANDOM,9,0,7,0,13
11,PROXIMITY,9,0,11,0,9
11,DEGREE,7,0,14,0,6
11,PROTECTION,7,0,11,0,9
11,RANDOM,11,0,10,0,10
12,PROXIMITY,25,0,1,0,19
12,DEGREE,15,0,7,0,13
12,PROTECTION,10,0,9,0,11
12,RANDOM,11,0,9,0,11
13,PROXIMITY,8,0,12,0,8
13,DEGREE,9,0,9,0,11
13,PROTECTION,7,0,10,0,10
13,RANDOM,7,0,10,0,10
14,PROXIMITY,17,0,1,0,19
14,DEGREE,17,0,2,0,18
14,PROTECTION,9,0,9,0,11
14,RANDOM,9,0,10,0,10
15,PROXIMITY,17,0,2,0,18
15,DEGREE,7,0,10,0,10
15,PROTECTION,9,0,7,0,13
15,RANDOM,9,0,8,0,12
16,PROXIMITY,19,0,1,0,19
16,DEGREE,17,0,5,0,15
16,PROTECTION,17,0,2,0,18
16,RANDOM,17,0,1,0,19
17,PROXIMITY,19,0,5,0,15
17,DEGREE,15,0,7,0,13
17,PROTECTION,9,0,10,0,10
17,RANDOM,11,0,11,0,9
18,PROXIMITY,17,0,1,0,19
18,DEGREE,13,0,5,0,15
18,PROTECTION,11,0,5,0,15
18,RANDOM,13,0,4,0,16
19,PROXIMITY,19,0,1,0,19
19,DEGREE,15,0,4,0,16
19,PROTECTION,19,0,1,0,19
19,RANDOM,15,0,4,0,16

