OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,1,0,19
0,DEGREE,15,0,2,0,18
0,PROTECTION,9,0,7,0,13
0,RANDOM,15,0,1,0,19
1,PROXIMITY,15,0,1,0,19
1,DEGREE,15,0,1,0,19
1,PROTECTION,9,0,6,0,14
1,RANDOM,13,0,1,0,19
2,PROXIMITY,21,0,1,0,19
2,DEGREE,19,0,2,0,18
2,PROTECTION,17,0,1,0,19
2,RANDOM,10,0,10,0,10
3,PROXIMITY,17,0,1,0,19
3,DEGREE,15,0,1,0,19
3,PROTECTION,15,0,1,0,19
3,RANDOM,9,0,10,0,10
4,PROXIMITY,11,0,1,0,19
4,DEGREE,11,0,4,0,16
4,PROTECTION,11,0,1,0,19
4,RANDOM,7,0,7,0,13
5,PROXIMITY,15,0,1,0,19
5,DEGREE,13,0,8,0,12
5,PROTECTION,13,0,1,0,19
5,RANDOM,11,0,7,0,13
6,PROXIMITY,15,0,1,0,19
6,DEGREE,11,0,8,0,12
6,PROTECTION,15,0,1,0,19
6,RANDOM,10,0,7,0,13
7,PROXIMITY,15,0,1,0,19
7,DEGREE,15,0,2,0,18
7,PROTECTION,13,0,1,0,19
7,RANDOM,13,0,1,0,19
8,PROXIMITY,17,0,1,0,19
8,DEGREE,9,0,9,0,11
8,PROTECTION,15,0,1,0,19
8,RANDOM,9,0,8,0,12
9,PROXIMITY,13,0,1,0,19
9,DEGREE,9,0,5,0,15
9,PROTECTION,7,0,7,0,13
9,RANDOM,7,0,7,0,13
10,PROXIMITY,25,0,1,0,19
10,DEGREE,23,0,1,0,19
10,PROTECTION,23,0,1,0,19
10,RANDOM,15,0,9,0,11
11,PROXIMITY,19,0,1,0,19
11,DEGREE,19,0,1,0,19
11,PROTECTION,19,0,1,0,19
11,RANDOM,9,0,11,0,9
12,PROXIMITY,17,0,1,0,19
12,DEGREE,11,0,7,0,13
12,PROTECTION,17,0,1,0,19
12,RANDOM,11,0,7,0,13
13,PROXIMITY,17,0,1,0,19
13,DEGREE,19,0,1,0,19
13,PROTECTION,17,0,1,0,19
13,RANDOM,17,0,1,0,19
14,PROXIMITY,15,0,1,0,19
14,DEGREE,13,0,4,0,16
14,PROTECTION,7,0,8,0,12
14,RANDOM,11,0,7,0,13
15,PROXIMITY,15,0,1,0,19
15,DEGREE,11,0,8,0,12
15,PROTECTION,15,0,1,0,19
15,RANDOM,13,0,5,0,15
16,PROXIMITY,17,0,1,0,19
16,DEGREE,17,0,1,0,19
16,PROTECTION,9,0,8,0,12
16,RANDOM,15,0,4,0,16
17,PROXIMITY,17,0,1,0,19
17,DEGREE,13,0,5,0,15
17,PROTECTION,15,0,1,0,19
17,RANDOM,9,0,7,0,13
18,PROXIMITY,17,0,1,0,19
18,DEGREE,11,0,5,0,15
18,PROTECTION,9,0,7,0,13
18,RANDOM,9,0,8,0,12
19,PROXIMITY,17,0,1,0,19
19,DEGREE,13,0,6,0,14
19,PROTECTION,17,0,1,0,19
19,RANDOM,13,0,6,0,14

