OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,5,0,15
0,DEGREE,5,0,5,0,15
0,PROTECTION,5,0,4,0,16
0,RANDOM,5,0,5,0,15
1,PROXIMITY,13,0,2,0,18
1,DEGREE,13,0,2,0,18
1,PROTECTION,7,0,5,0,15
1,RANDOM,7,0,5,0,15
2,PROXIMITY,9,0,7,0,13
2,DEGREE,8,0,8,0,12
2,PROTECTION,7,0,7,0,13
2,RANDOM,7,0,10,0,10
3,PROXIMITY,7,0,6,0,14
3,DEGREE,7,0,8,0,12
3,PROTECTION,5,0,6,0,14
3,RANDOM,7,0,6,0,14
4,PROXIMITY,15,0,3,0,17
4,DEGREE,13,0,4,0,16
4,PROTECTION,9,0,5,0,15
4,RANDOM,13,0,5,0,15
5,PROXIMITY,9,0,1,0,19
5,DEGREE,5,0,3,0,17
5,PROTECTION,7,0,2,0,18
5,RANDOM,7,0,2,0,18
6,PROXIMITY,9,0,3,0,17
6,DEGREE,7,0,4,0,16
6,PROTECTION,5,0,3,0,17
6,RANDOM,7,0,2,0,18
7,PROXIMITY,5,0,3,0,17
7,DEGREE,5,0,3,0,17
7,PROTECTION,3,0,3,0,17
7,RANDOM,4,0,4,0,16
8,PROXIMITY,7,0,7,0,13
8,DEGREE,7,0,7,0,13
8,PROTECTION,5,0,8,0,12
8,RANDOM,8,0,8,0,12
9,PROXIMITY,7,0,6,0,14
9,DEGREE,6,0,9,0,11
9,PROTECTION,7,0,5,0,15
9,RANDOM,7,0,6,0,14
10,PROXIMITY,9,0,4,0,16
10,DEGREE,7,0,7,0,13
10,PROTECTION,7,0,5,0,15
10,RANDOM,7,0,6,0,14
11,PROXIMITY,11,0,3,0,17
11,DEGREE,9,0,7,0,13
11,PROTECTION,5,0,6,0,14
11,RANDOM,7,0,7,0,13
12,PROXIMITY,5,0,8,0,12
12,DEGREE,5,0,7,0,13
12,PROTECTION,5,0,5,0,15
12,RANDOM,5,0,6,0,14
13,PROXIMITY,7,0,3,0,17
13,DEGREE,9,0,2,0,18
13,PROTECTION,7,0,2,0,18
13,RANDOM,7,0,2,0,18
14,PROXIMITY,9,0,1,0,19
14,DEGREE,9,0,1,0,19
14,PROTECTION,5,0,3,0,17
14,RANDOM,7,0,2,0,18
15,PROXIMITY,7,0,3,0,17
15,DEGREE,5,0,6,0,14
15,PROTECTION,5,0,6,0,14
15,RANDOM,5,0,5,0,15
16,PROXIMITY,5,0,6,0,14
16,DEGREE,5,0,5,0,15
16,PROTECTION,5,0,3,0,17
16,RANDOM,5,0,4,0,16
17,PROXIMITY,7,0,3,0,17
17,DEGREE,7,0,4,0,16
17,PROTECTION,5,0,5,0,15
17,RANDOM,5,0,5,0,15
18,PROXIMITY,9,0,4,0,16
18,DEGREE,9,0,6,0,14
18,PROTECTION,5,0,7,0,13
18,RANDOM,7,0,9,0,11
19,PROXIMITY,7,0,9,0,11
19,DEGREE,9,0,7,0,13
19,PROTECTION,7,0,7,0,13
19,RANDOM,9,0,8,0,12

