OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,5,0,12,0,8
1,DEGREE,7,0,11,0,9
2,PROTECTION,4,0,12,0,8
3,PROTECTION,4,0,12,0,8
4,DEGREE,7,0,10,0,10
5,PROTECTION,7,0,6,0,14
6,PROTECTION,5,0,10,0,10
7,PROTECTION,5,0,12,0,8
8,PROTECTION,7,0,10,0,10
9,DEGREE,9,0,8,0,12
10,PROTECTION,5,0,11,0,9
11,DEGREE,7,0,10,0,10
12,PROTECTION,7,0,11,0,9
13,PROTECTION,6,0,11,0,9
14,PROTECTION,4,0,11,0,9
15,RANDOM,7,0,11,0,9
16,PROTECTION,8,0,9,0,11
17,PROTECTION,7,0,7,0,13
18,PROTECTION,6,0,7,0,13
19,PROXIMITY,9,0,6,0,14

