OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,4,0,7,0,13
1,PROTECTION,5,0,12,0,8
2,PROTECTION,5,0,8,0,12
3,PROTECTION,4,0,10,0,10
4,PROTECTION,4,0,11,0,9
5,PROTECTION,5,0,7,0,13
6,PROTECTION,5,0,8,0,12
7,PROTECTION,5,0,8,0,12
8,PROTECTION,5,0,6,0,14
9,PROTECTION,4,0,12,0,8
10,PROTECTION,4,0,9,0,11
10,RANDOM,4,0,9,0,11
11,PROTECTION,4,0,9,0,11
12,PROTECTION,4,0,12,0,8
13,PROTECTION,4,0,11,0,9
14,PROTECTION,5,0,9,0,11
15,PROTECTION,5,0,9,0,11
16,PROTECTION,5,0,10,0,10
17,PROTECTION,4,0,8,0,12
18,PROTECTION,4,0,13,0,7
19,DEGREE,5,0,10,0,10
19,PROTECTION,5,0,10,0,10

