PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
RANDOM,PROXIMITY,11
RANDOM,DEGREE,8
RANDOM,PROTECTION,182
RANDOM,RANDOM,13
MIXED,PROXIMITY,12
MIXED,DEGREE,14
MIXED,PROTECTION,174
MIXED,RANDOM,14
DETERMINISTIC,PROXIMITY,138
DETERMINISTIC,DEGREE,56
DETERMINISTIC,PROTECTION,15
DETERMINISTIC,RANDOM,41
