OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,RANDOM,7,0,2,0,18
1,PROTECTION,5,0,1,0,19
2,PROXIMITY,5,0,1,0,19
2,DEGREE,5,0,1,0,19
3,PROXIMITY,5,0,1,0,19
4,PROTECTION,7,0,3,0,17
5,PROXIMITY,5,0,2,0,18
5,RANDOM,5,0,2,0,18
6,PROXIMITY,5,0,1,0,19
7,RANDOM,5,0,1,0,19
8,RANDOM,5,0,1,0,19
9,PROXIMITY,5,0,1,0,19
10,PROXIMITY,5,0,1,0,19
11,PROXIMITY,7,0,1,0,19
12,RANDOM,5,0,1,0,19
13,PROXIMITY,7,0,1,0,19
14,PROXIMITY,5,0,5,0,15
15,RANDOM,5,0,1,0,19
16,PROXIMITY,7,0,1,0,19
16,DEGREE,7,0,1,0,19
17,PROXIMITY,11,0,1,0,19
17,DEGREE,11,0,1,0,19
18,DEGREE,5,0,1,0,19
19,PROXIMITY,7,0,1,0,19

