P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.10,DETERMINISTIC,PROXIMITY,122
0.10,DETERMINISTIC,DEGREE,98
0.10,DETERMINISTIC,PROTECTION,191
0.10,DETERMINISTIC,RANDOM,120
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.20,DETERMINISTIC,PROXIMITY,125
0.20,DETERMINISTIC,DEGREE,65
0.20,DETERMINISTIC,PROTECTION,186
0.20,DETERMINISTIC,RANDOM,67
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.30,DETERMINISTIC,PROXIMITY,124
0.30,DETERMINISTIC,DEGREE,42
0.30,DETERMINISTIC,PROTECTION,147
0.30,DETERMINISTIC,RANDOM,37
0.40,DETERMINISTIC,PROXIMITY,125
0.40,DETERMINISTIC,DEGREE,40
0.40,DETERMINISTIC,PROTECTION,112
0.40,DETERMINISTIC,RANDOM,30
0.40,DETERMINISTIC,PROXIMITY,125
0.40,DETERMINISTIC,DEGREE,40
0.40,DETERMINISTIC,PROTECTION,112
0.40,DETERMINISTIC,RANDOM,30
0.40,DETERMINISTIC,PROXIMITY,125
0.40,DETERMINISTIC,DEGREE,40
0.40,DETERMINISTIC,PROTECTION,112
0.40,DETERMINISTIC,RANDOM,30
0.40,DETERMINISTIC,PROXIMITY,125
0.40,DETERMINISTIC,DEGREE,40
0.40,DETERMINISTIC,PROTECTION,112
0.40,DETERMINISTIC,RANDOM,30
0.40,DETERMINISTIC,PROXIMITY,125
0.40,DETERMINISTIC,DEGREE,40
