P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.10,MIXED,PROXIMITY,167
0.10,MIXED,DEGREE,134
0.10,MIXED,PROTECTION,120
0.10,MIXED,RANDOM,125
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
0.20,MIXED,PROXIMITY,111
0.20,MIXED,DEGREE,71
0.20,MIXED,PROTECTION,73
0.20,MIXED,RANDOM,53
