P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.10,RANDOM,PROXIMITY,152
0.10,RANDOM,DEGREE,89
0.10,RANDOM,PROTECTION,82
0.10,RANDOM,RANDOM,71
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.20,RANDOM,PROXIMITY,131
0.20,RANDOM,DEGREE,51
0.20,RANDOM,PROTECTION,38
0.20,RANDOM,RANDOM,23
0.30,RANDOM,PROXIMITY,79
0.30,RANDOM,DEGREE,47
0.30,RANDOM,PROTECTION,83
0.30,RANDOM,RANDOM,13
0.30,RANDOM,PROXIMITY,79
0.30,RANDOM,DEGREE,47
0.30,RANDOM,PROTECTION,83
0.30,RANDOM,RANDOM,13
0.30,RANDOM,PROXIMITY,79
0.30,RANDOM,DEGREE,47
0.30,RANDOM,PROTECTION,83
0.30,RANDOM,RANDOM,13
0.30,RANDOM,PROXIMITY,79
0.30,RANDOM,DEGREE,47
0.30,RANDOM,PROTECTION,83
0.30,RANDOM,RANDOM,13
0.30,RANDOM,PROXIMITY,79
0.30,RANDOM,DEGREE,47
0.30,RANDOM,PROTECTION,83
