PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,1
RANDOM,DEGREE,0
RANDOM,PROTECTION,250
MIXED,PROXIMITY,3
MIXED,DEGREE,1
MIXED,PROTECTION,250
DETERMINISTIC,PROXIMITY,188
DETERMINISTIC,DEGREE,197
DETERMINISTIC,PROTECTION,0
