OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,1,0,19
0,DEGREE,5,0,1,0,19
0,PROTECTION,5,0,1,0,19
0,RANDOM,5,0,1,0,19
1,PROXIMITY,7,0,1,0,19
1,DEGREE,7,0,1,0,19
1,RANDOM,7,0,1,0,19
2,PROXIMITY,0,0,1,0,19
2,DEGREE,0,0,1,0,19
2,PROTECTION,0,0,1,0,19
2,RANDOM,0,0,1,0,19
3,PROXIMITY,9,0,1,0,19
4,PROXIMITY,9,0,2,0,18
5,PROXIMITY,5,0,1,0,19
6,PROXIMITY,0,0,1,0,19
6,DEGREE,0,0,1,0,19
6,PROTECTION,0,0,1,0,19
6,RANDOM,0,0,1,0,19
7,PROXIMITY,3,0,1,0,19
7,DEGREE,3,0,1,0,19
8,PROTECTION,3,0,1,0,19
8,RANDOM,3,0,1,0,19
9,PROXIMITY,7,0,1,0,19
9,DEGREE,7,0,1,0,19
10,PROXIMITY,7,0,1,0,19
10,DEGREE,7,0,1,0,19
10,PROTECTION,7,0,1,0,19
11,PROXIMITY,11,0,2,0,18
12,PROXIMITY,9,0,1,0,19
13,PROXIMITY,5,0,1,0,19
13,DEGREE,5,0,1,0,19
13,PROTECTION,5,0,1,0,19
14,PROXIMITY,5,0,1,0,19
14,DEGREE,5,0,1,0,19
14,PROTECTION,5,0,1,0,19
14,RANDOM,5,0,1,0,19
15,DEGREE,9,0,1,0,19
16,PROXIMITY,5,0,1,0,19
16,DEGREE,5,0,1,0,19
17,RANDOM,5,0,3,0,17
18,PROXIMITY,7,0,1,0,19
19,PROXIMITY,7,0,1,0,19

