OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,1,0,19
0,DEGREE,7,0,2,0,18
0,PROTECTION,5,0,3,0,17
0,RANDOM,9,0,1,0,19
1,PROXIMITY,7,0,3,0,17
1,DEGREE,7,0,4,0,16
1,PROTECTION,4,0,5,0,15
1,RANDOM,5,0,4,0,16
2,PROXIMITY,9,0,2,0,18
2,DEGREE,7,0,3,0,17
2,PROTECTION,4,0,4,0,16
2,RANDOM,5,0,4,0,16
3,PROXIMITY,9,0,1,0,19
3,DEGREE,7,0,2,0,18
3,PROTECTION,7,0,2,0,18
3,RANDOM,7,0,2,0,18
4,PROXIMITY,7,0,2,0,18
4,DEGREE,7,0,4,0,16
4,PROTECTION,4,0,5,0,15
4,RANDOM,5,0,4,0,16
5,PROXIMITY,5,0,3,0,17
5,DEGREE,3,0,3,0,17
5,PROTECTION,3,0,3,0,17
5,RANDOM,5,0,2,0,18
6,PROXIMITY,11,0,5,0,15
6,DEGREE,11,0,5,0,15
6,PROTECTION,7,0,6,0,14
6,RANDOM,7,0,8,0,12
7,PROXIMITY,9,0,2,0,18
7,DEGREE,7,0,3,0,17
7,PROTECTION,7,0,3,0,17
7,RANDOM,9,0,4,0,16
8,PROXIMITY,7,0,2,0,18
8,DEGREE,7,0,2,0,18
8,PROTECTION,7,0,2,0,18
8,RANDOM,5,0,4,0,16
9,PROXIMITY,7,0,1,0,19
9,DEGREE,5,0,2,0,18
9,PROTECTION,7,0,1,0,19
9,RANDOM,7,0,1,0,19
10,PROXIMITY,11,0,1,0,19
10,DEGREE,9,0,4,0,16
10,PROTECTION,7,0,3,0,17
10,RANDOM,9,0,3,0,17
11,PROXIMITY,9,0,2,0,18
11,DEGREE,9,0,3,0,17
11,PROTECTION,4,0,4,0,16
11,RANDOM,5,0,3,0,17
12,PROXIMITY,13,0,2,0,18
12,DEGREE,9,0,4,0,16
12,PROTECTION,7,0,4,0,16
12,RANDOM,7,0,5,0,15
13,PROXIMITY,13,0,2,0,18
13,DEGREE,9,0,3,0,17
13,PROTECTION,9,0,4,0,16
13,RANDOM,7,0,6,0,14
14,PROXIMITY,7,0,4,0,16
14,DEGREE,9,0,3,0,17
14,PROTECTION,7,0,3,0,17
14,RANDOM,5,0,4,0,16
15,PROXIMITY,7,0,1,0,19
15,DEGREE,7,0,1,0,19
15,PROTECTION,5,0,1,0,19
15,RANDOM,5,0,1,0,19
16,PROXIMITY,15,0,3,0,17
16,DEGREE,9,0,4,0,16
16,PROTECTION,7,0,6,0,14
16,RANDOM,9,0,5,0,15
17,PROXIMITY,9,0,1,0,19
17,DEGREE,9,0,1,0,19
17,PROTECTION,7,0,1,0,19
17,RANDOM,7,0,1,0,19
18,PROXIMITY,5,0,7,0,13
18,DEGREE,7,0,7,0,13
18,PROTECTION,4,0,8,0,12
18,RANDOM,5,0,9,0,11
19,PROXIMITY,9,0,3,0,17
19,DEGREE,7,0,6,0,14
19,PROTECTION,7,0,4,0,16
19,RANDOM,9,0,3,0,17

