OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,1,0,19
0,DEGREE,11,0,7,0,13
0,PROTECTION,7,0,10,0,10
0,RANDOM,13,0,1,0,19
1,PROXIMITY,13,0,1,0,19
1,DEGREE,11,0,4,0,16
1,PROTECTION,7,0,9,0,11
1,RANDOM,11,0,4,0,16
2,PROXIMITY,11,0,1,0,19
2,DEGREE,9,0,2,0,18
2,PROTECTION,11,0,3,0,17
2,RANDOM,7,0,7,0,13
3,PROXIMITY,17,0,1,0,19
3,DEGREE,17,0,2,0,18
3,PROTECTION,17,0,1,0,19
3,RANDOM,15,0,3,0,17
4,PROXIMITY,15,0,1,0,19
4,DEGREE,11,0,4,0,16
4,PROTECTION,7,0,7,0,13
4,RANDOM,11,0,6,0,14
5,PROXIMITY,17,0,1,0,19
5,DEGREE,11,0,7,0,13
5,PROTECTION,15,0,1,0,19
5,RANDOM,15,0,3,0,17
6,PROXIMITY,15,0,1,0,19
6,DEGREE,13,0,4,0,16
6,PROTECTION,7,0,11,0,9
6,RANDOM,9,0,8,0,12
7,PROXIMITY,17,0,1,0,19
7,DEGREE,15,0,1,0,19
7,PROTECTION,15,0,1,0,19
7,RANDOM,9,0,9,0,11
8,PROXIMITY,15,0,1,0,19
8,DEGREE,13,0,3,0,17
8,PROTECTION,13,0,1,0,19
8,RANDOM,9,0,12,0,8
9,PROXIMITY,17,0,1,0,19
9,DEGREE,11,0,7,0,13
9,PROTECTION,15,0,1,0,19
9,RANDOM,11,0,7,0,13
10,PROXIMITY,13,0,1,0,19
10,DEGREE,11,0,6,0,14
10,PROTECTION,13,0,1,0,19
10,RANDOM,13,0,2,0,18
11,PROXIMITY,19,0,1,0,19
11,DEGREE,17,0,6,0,14
11,PROTECTION,19,0,1,0,19
11,RANDOM,11,0,10,0,10
12,PROXIMITY,19,0,1,0,19
12,DEGREE,19,0,1,0,19
12,PROTECTION,17,0,1,0,19
12,RANDOM,13,0,5,0,15
13,PROXIMITY,15,0,1,0,19
13,DEGREE,14,0,6,0,14
13,PROTECTION,15,0,1,0,19
13,RANDOM,7,0,12,0,8
14,PROXIMITY,17,0,1,0,19
14,DEGREE,9,0,8,0,12
14,PROTECTION,15,0,1,0,19
14,RANDOM,11,0,9,0,11
15,PROXIMITY,13,0,1,0,19
15,DEGREE,13,0,2,0,18
15,PROTECTION,11,0,1,0,19
15,RANDOM,9,0,5,0,15
16,PROXIMITY,13,0,1,0,19
16,DEGREE,11,0,4,0,16
16,PROTECTION,7,0,8,0,12
16,RANDOM,9,0,5,0,15
17,PROXIMITY,13,0,1,0,19
17,DEGREE,7,0,7,0,13
17,PROTECTION,9,0,6,0,14
17,RANDOM,9,0,6,0,14
18,PROXIMITY,15,0,1,0,19
18,DEGREE,11,0,6,0,14
18,PROTECTION,9,0,9,0,11
18,RANDOM,13,0,4,0,16
19,PROXIMITY,15,0,1,0,19
19,DEGREE,15,0,1,0,19
19,PROTECTION,13,0,1,0,19
19,RANDOM,7,0,11,0,9

