OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,7,0,2,0,18
0,DEGREE,7,0,2,0,18
1,PROXIMITY,5,0,2,0,18
1,RANDOM,5,0,2,0,18
2,RANDOM,7,0,1,0,19
3,RANDOM,5,0,1,0,19
4,RANDOM,7,0,1,0,19
5,PROXIMITY,5,0,1,0,19
6,PROXIMITY,5,0,1,0,19
7,PROXIMITY,9,0,1,0,19
8,DEGREE,7,0,2,0,18
8,RANDOM,7,0,2,0,18
9,DEGREE,5,0,1,0,19
10,PROXIMITY,5,0,1,0,19
10,RANDOM,5,0,1,0,19
11,RANDOM,3,0,1,0,19
12,RANDOM,3,0,2,0,18
13,PROXIMITY,7,0,1,0,19
13,DEGREE,7,0,1,0,19
14,PROXIMITY,5,0,1,0,19
14,DEGREE,5,0,1,0,19
15,PROXIMITY,5,0,1,0,19
15,RANDOM,5,0,1,0,19
16,DEGREE,7,0,2,0,18
17,DEGREE,7,0,1,0,19
18,DEGREE,5,0,2,0,18
19,RANDOM,3,0,2,0,18

