P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,DETERMINISTIC,PROXIMITY,7
0.10,DETERMINISTIC,DEGREE,3
0.10,DETERMINISTIC,PROTECTION,19
0.10,DETERMINISTIC,RANDOM,6
0.20,DETERMINISTIC,PROXIMITY,6
0.20,DETERMINISTIC,DEGREE,5
0.20,DETERMINISTIC,PROTECTION,19
0.20,DETERMINISTIC,RANDOM,9
0.30,DETERMINISTIC,PROXIMITY,10
0.30,DETERMINISTIC,DEGREE,2
0.30,DETERMINISTIC,PROTECTION,16
0.30,DETERMINISTIC,RANDOM,1
0.40,DETERMINISTIC,PROXIMITY,11
0.40,DETERMINISTIC,DEGREE,1
0.40,DETERMINISTIC,PROTECTION,12
0.40,DETERMINISTIC,RANDOM,1
0.50,DETERMINISTIC,PROXIMITY,14
0.50,DETERMINISTIC,DEGREE,5
0.50,DETERMINISTIC,PROTECTION,7
0.50,DETERMINISTIC,RANDOM,4
0.60,DETERMINISTIC,PROXIMITY,12
0.60,DETERMINISTIC,DEGREE,7
0.60,DETERMINISTIC,PROTECTION,3
0.60,DETERMINISTIC,RANDOM,5
0.70,DETERMINISTIC,PROXIMITY,14
0.70,DETERMINISTIC,DEGREE,7
0.70,DETERMINISTIC,PROTECTION,0
0.70,DETERMINISTIC,RANDOM,4
0.80,DETERMINISTIC,PROXIMITY,12
0.80,DETERMINISTIC,DEGREE,5
0.80,DETERMINISTIC,PROTECTION,0
0.80,DETERMINISTIC,RANDOM,5
0.90,DETERMINISTIC,PROXIMITY,9
0.90,DETERMINISTIC,DEGREE,8
0.90,DETERMINISTIC,PROTECTION,0
0.90,DETERMINISTIC,RANDOM,10
