P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,MIXED,PROXIMITY,17
0.10,MIXED,DEGREE,11
0.10,MIXED,PROTECTION,7
0.10,MIXED,RANDOM,7
0.20,MIXED,PROXIMITY,16
0.20,MIXED,DEGREE,2
0.20,MIXED,PROTECTION,5
0.20,MIXED,RANDOM,6
0.30,MIXED,PROXIMITY,11
0.30,MIXED,DEGREE,5
0.30,MIXED,PROTECTION,9
0.30,MIXED,RANDOM,0
0.40,MIXED,PROXIMITY,7
0.40,MIXED,DEGREE,3
0.40,MIXED,PROTECTION,11
0.40,MIXED,RANDOM,2
0.50,MIXED,PROXIMITY,5
0.50,MIXED,DEGREE,2
0.50,MIXED,PROTECTION,14
0.50,MIXED,RANDOM,4
0.60,MIXED,PROXIMITY,0
0.60,MIXED,DEGREE,1
0.60,MIXED,PROTECTION,17
0.60,MIXED,RANDOM,2
0.70,MIXED,PROXIMITY,1
0.70,MIXED,DEGREE,1
0.70,MIXED,PROTECTION,18
0.70,MIXED,RANDOM,2
0.80,MIXED,PROXIMITY,0
0.80,MIXED,DEGREE,1
0.80,MIXED,PROTECTION,18
0.80,MIXED,RANDOM,1
0.90,MIXED,PROXIMITY,0
0.90,MIXED,DEGREE,0
0.90,MIXED,PROTECTION,20
0.90,MIXED,RANDOM,0
