P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,RANDOM,PROXIMITY,15
0.10,RANDOM,DEGREE,4
0.10,RANDOM,PROTECTION,7
0.10,RANDOM,RANDOM,6
0.20,RANDOM,PROXIMITY,17
0.20,RANDOM,DEGREE,5
0.20,RANDOM,PROTECTION,2
0.20,RANDOM,RANDOM,1
0.30,RANDOM,PROXIMITY,3
0.30,RANDOM,DEGREE,7
0.30,RANDOM,PROTECTION,8
0.30,RANDOM,RANDOM,3
0.40,RANDOM,PROXIMITY,5
0.40,RANDOM,DEGREE,3
0.40,RANDOM,PROTECTION,12
0.40,RANDOM,RANDOM,2
0.50,RANDOM,PROXIMITY,2
0.50,RANDOM,DEGREE,1
0.50,RANDOM,PROTECTION,15
0.50,RANDOM,RANDOM,4
0.60,RANDOM,PROXIMITY,2
0.60,RANDOM,DEGREE,0
0.60,RANDOM,PROTECTION,17
0.60,RANDOM,RANDOM,1
0.70,RANDOM,PROXIMITY,1
0.70,RANDOM,DEGREE,1
0.70,RANDOM,PROTECTION,18
0.70,RANDOM,RANDOM,0
0.80,RANDOM,PROXIMITY,0
0.80,RANDOM,DEGREE,0
0.80,RANDOM,PROTECTION,18
0.80,RANDOM,RANDOM,2
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,0
0.90,RANDOM,PROTECTION,20
0.90,RANDOM,RANDOM,0
