PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,476
RANDOM,DEGREE,412
RANDOM,PROTECTION,375
MIXED,PROXIMITY,480
MIXED,DEGREE,444
MIXED,PROTECTION,437
DETERMINISTIC,PROXIMITY,500
DETERMINISTIC,DEGREE,424
DETERMINISTIC,PROTECTION,406
