OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,9,0,12,0,38
1,PROTECTION,7,0,14,0,36
2,PROTECTION,5,0,16,0,34
3,PROXIMITY,11,0,12,0,38
4,PROXIMITY,17,0,3,0,47
5,PROTECTION,6,0,23,0,27
6,PROTECTION,7,0,13,0,37
7,PROTECTION,7,0,13,0,37
8,PROTECTION,6,0,18,0,32
9,PROTECTION,6,0,23,0,27
10,PROTECTION,6,0,11,0,39
11,PROTECTION,10,0,14,0,36
12,PROTECTION,10,0,12,0,38
13,PROTECTION,9,0,12,0,38
14,PROTECTION,9,0,7,0,43
15,PROTECTION,9,0,15,0,35
16,PROTECTION,9,0,10,0,40
17,PROTECTION,5,0,15,0,35
18,PROTECTION,4,0,19,0,31
19,PROTECTION,6,0,16,0,34
20,PROTECTION,7,0,23,0,27
21,PROTECTION,5,0,16,0,34
22,PROTECTION,9,0,9,0,41
23,PROTECTION,7,0,13,0,37
24,PROTECTION,6,0,24,0,26
25,PROTECTION,4,0,22,0,28
26,PROTECTION,9,0,10,0,40
27,PROTECTION,5,0,20,0,30
28,PROTECTION,6,0,18,0,32
29,PROTECTION,9,0,11,0,39
30,PROTECTION,9,0,15,0,35
31,PROTECTION,6,0,19,0,31
32,PROTECTION,11,0,9,0,41
33,PROTECTION,9,0,14,0,36
34,PROTECTION,6,0,19,0,31
35,PROTECTION,7,0,17,0,33
36,PROTECTION,7,0,14,0,36
37,PROTECTION,11,0,7,0,43
38,PROTECTION,7,0,16,0,34
39,PROTECTION,7,0,17,0,33
40,PROTECTION,7,0,11,0,39
41,PROXIMITY,13,0,15,0,35
42,PROTECTION,8,0,11,0,39
43,PROTECTION,7,0,14,0,36
44,PROTECTION,6,0,17,0,33
45,PROTECTION,9,0,8,0,42
46,PROTECTION,9,0,15,0,35
47,PROTECTION,6,0,15,0,35
48,PROTECTION,6,0,13,0,37
49,PROTECTION,9,0,14,0,36

