OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,6,0,34,0,16
1,PROTECTION,7,0,33,0,17
2,PROTECTION,8,0,31,0,19
3,PROTECTION,6,0,35,0,15
4,PROTECTION,5,0,37,0,13
5,PROTECTION,6,0,38,0,12
6,PROTECTION,6,0,33,0,17
7,PROTECTION,6,0,38,0,12
8,PROTECTION,6,0,33,0,17
9,PROTECTION,6,0,33,0,17
10,PROTECTION,6,0,36,0,14
11,PROTECTION,6,0,36,0,14
12,PROTECTION,6,0,37,0,13
13,PROTECTION,6,0,33,0,17
14,PROTECTION,6,0,31,0,19
15,PROTECTION,6,0,36,0,14
16,PROTECTION,6,0,38,0,12
17,PROTECTION,7,0,33,0,17
18,PROTECTION,6,0,32,0,18
19,PROTECTION,6,0,37,0,13
20,PROTECTION,6,0,34,0,16
21,PROTECTION,6,0,37,0,13
22,PROTECTION,7,0,34,0,16
23,PROTECTION,6,0,36,0,14
24,PROTECTION,9,0,33,0,17
25,PROTECTION,6,0,36,0,14
26,PROTECTION,6,0,34,0,16
27,PROTECTION,7,0,34,0,16
28,PROTECTION,6,0,36,0,14
29,PROTECTION,9,0,34,0,16
30,PROTECTION,7,0,32,0,18
31,PROTECTION,9,0,30,0,20
32,PROTECTION,6,0,33,0,17
33,PROTECTION,8,0,31,0,19
34,PROTECTION,6,0,33,0,17
35,PROTECTION,7,0,32,0,18
36,PROTECTION,6,0,37,0,13
37,PROTECTION,7,0,35,0,15
38,PROTECTION,6,0,34,0,16
39,PROTECTION,7,0,34,0,16
40,PROTECTION,6,0,35,0,15
41,PROTECTION,7,0,35,0,15
42,PROTECTION,6,0,34,0,16
43,PROTECTION,6,0,35,0,15
44,PROTECTION,6,0,34,0,16
45,PROTECTION,8,0,36,0,14
46,PROTECTION,6,0,34,0,16
47,PROXIMITY,57,0,1,0,49
48,PROTECTION,7,0,31,0,19
49,PROTECTION,6,0,38,0,12

