OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,47,0,1,0,49
0,DEGREE,7,0,41,0,9
0,PROTECTION,83,0,1,0,49
1,PROXIMITY,39,0,1,0,49
1,DEGREE,6,0,45,0,5
1,PROTECTION,75,0,1,0,49
2,PROXIMITY,41,0,1,0,49
2,DEGREE,6,0,44,0,6
2,PROTECTION,75,0,1,0,49
3,PROXIMITY,43,0,1,0,49
3,DEGREE,6,0,45,0,5
3,PROTECTION,79,0,1,0,49
4,PROXIMITY,35,0,1,0,49
4,DEGREE,5,0,44,0,6
4,PROTECTION,69,0,1,0,49
5,PROXIMITY,33,0,1,0,49
5,DEGREE,4,0,46,0,4
5,PROTECTION,63,0,1,0,49
6,PROXIMITY,41,0,1,0,49
6,DEGREE,6,0,45,0,5
6,PROTECTION,77,0,1,0,49
7,PROXIMITY,51,0,1,0,49
7,DEGREE,6,0,46,0,4
7,PROTECTION,85,0,1,0,49
8,PROXIMITY,37,0,1,0,49
8,DEGREE,6,0,44,0,6
8,PROTECTION,71,0,1,0,49
9,PROXIMITY,39,0,1,0,49
9,DEGREE,6,0,44,0,6
9,PROTECTION,73,0,1,0,49
10,PROXIMITY,41,0,1,0,49
10,DEGREE,6,0,40,0,10
10,PROTECTION,75,0,1,0,49
11,PROXIMITY,35,0,1,0,49
11,DEGREE,5,0,45,0,5
11,PROTECTION,69,0,1,0,49
12,PROXIMITY,45,0,1,0,49
12,DEGREE,6,0,45,0,5
12,PROTECTION,81,0,1,0,49
13,PROXIMITY,45,0,1,0,49
13,DEGREE,6,0,42,0,8
13,PROTECTION,83,0,1,0,49
14,PROXIMITY,35,0,1,0,49
14,DEGREE,5,0,42,0,8
14,PROTECTION,69,0,1,0,49
15,PROXIMITY,37,0,1,0,49
15,DEGREE,6,0,42,0,8
15,PROTECTION,71,0,1,0,49
16,PROXIMITY,39,0,1,0,49
16,DEGREE,6,0,41,0,9
16,PROTECTION,71,0,1,0,49
17,PROXIMITY,39,0,1,0,49
17,DEGREE,6,0,44,0,6
17,PROTECTION,71,0,1,0,49
18,PROXIMITY,47,0,1,0,49
18,DEGREE,6,0,45,0,5
18,PROTECTION,83,0,1,0,49
19,PROXIMITY,43,0,1,0,49
19,DEGREE,6,0,42,0,8
19,PROTECTION,81,0,1,0,49
20,PROXIMITY,41,0,1,0,49
20,DEGREE,6,0,45,0,5
20,PROTECTION,77,0,1,0,49
21,PROXIMITY,37,0,1,0,49
21,DEGREE,6,0,45,0,5
21,PROTECTION,71,0,1,0,49
22,PROXIMITY,39,0,1,0,49
22,DEGREE,6,0,45,0,5
22,PROTECTION,75,0,1,0,49
23,PROXIMITY,39,0,1,0,49
23,DEGREE,6,0,45,0,5
23,PROTECTION,73,0,1,0,49
24,PROXIMITY,41,0,1,0,49
24,DEGREE,6,0,45,0,5
24,PROTECTION,75,0,1,0,49
25,PROXIMITY,41,0,1,0,49
25,DEGREE,6,0,45,0,5
25,PROTECTION,77,0,1,0,49
26,PROXIMITY,37,0,1,0,49
26,DEGREE,6,0,44,0,6
26,PROTECTION,67,0,1,0,49
27,PROXIMITY,37,0,1,0,49
27,DEGREE,6,0,44,0,6
27,PROTECTION,73,0,1,0,49
28,PROXIMITY,39,0,1,0,49
28,DEGREE,5,0,45,0,5
28,PROTECTION,77,0,1,0,49
29,PROXIMITY,43,0,1,0,49
29,DEGREE,6,0,45,0,5
29,PROTECTION,79,0,1,0,49
30,PROXIMITY,43,0,1,0,49
30,DEGREE,6,0,42,0,8
30,PROTECTION,77,0,1,0,49
31,PROXIMITY,43,0,1,0,49
31,DEGREE,6,0,45,0,5
31,PROTECTION,79,0,1,0,49
32,PROXIMITY,41,0,1,0,49
32,DEGREE,6,0,42,0,8
32,PROTECTION,75,0,1,0,49
33,PROXIMITY,35,0,1,0,49
33,DEGREE,6,0,41,0,9
33,PROTECTION,69,0,1,0,49
34,PROXIMITY,41,0,1,0,49
34,DEGREE,6,0,45,0,5
34,PROTECTION,77,0,1,0,49
35,PROXIMITY,41,0,1,0,49
35,DEGREE,6,0,45,0,5
35,PROTECTION,77,0,1,0,49
36,PROXIMITY,39,0,1,0,49
36,DEGREE,6,0,42,0,8
36,PROTECTION,77,0,1,0,49
37,PROXIMITY,45,0,1,0,49
37,DEGREE,7,0,41,0,9
37,PROTECTION,81,0,1,0,49
38,PROXIMITY,37,0,1,0,49
38,DEGREE,5,0,45,0,5
38,PROTECTION,73,0,1,0,49
