P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.01,MIXED,PROXIMITY,496
0.01,MIXED,DEGREE,493
0.01,MIXED,PROTECTION,488
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.02,MIXED,PROXIMITY,468
0.02,MIXED,DEGREE,434
0.02,MIXED,PROTECTION,423
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.03,MIXED,PROXIMITY,443
0.03,MIXED,DEGREE,342
0.03,MIXED,PROTECTION,338
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.04,MIXED,PROXIMITY,422
0.04,MIXED,DEGREE,230
0.04,MIXED,PROTECTION,256
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.05,MIXED,PROXIMITY,397
0.05,MIXED,DEGREE,200
0.05,MIXED,PROTECTION,185
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.06,MIXED,PROXIMITY,338
0.06,MIXED,DEGREE,167
0.06,MIXED,PROTECTION,180
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.07,MIXED,PROXIMITY,272
0.07,MIXED,DEGREE,100
0.07,MIXED,PROTECTION,237
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
0.08,MIXED,PROTECTION,238
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
0.08,MIXED,PROTECTION,238
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
0.08,MIXED,PROTECTION,238
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
0.08,MIXED,PROTECTION,238
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
0.08,MIXED,PROTECTION,238
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
0.08,MIXED,PROTECTION,238
0.08,MIXED,PROXIMITY,243
0.08,MIXED,DEGREE,95
