OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,15,0,1,0,49
0,DEGREE,15,0,2,0,48
0,PROTECTION,15,0,1,0,49
1,PROXIMITY,29,0,1,0,49
1,DEGREE,37,0,1,0,49
1,PROTECTION,21,0,4,0,46
2,PROXIMITY,19,0,7,0,43
2,DEGREE,19,0,6,0,44
2,PROTECTION,19,0,5,0,45
3,PROXIMITY,23,0,1,0,49
3,DEGREE,25,0,2,0,48
3,PROTECTION,17,0,4,0,46
4,PROXIMITY,13,0,1,0,49
4,DEGREE,11,0,3,0,47
4,PROTECTION,9,0,3,0,47
5,PROXIMITY,11,0,1,0,49
5,DEGREE,11,0,2,0,48
5,PROTECTION,7,0,3,0,47
6,PROXIMITY,13,0,1,0,49
6,DEGREE,13,0,3,0,47
6,PROTECTION,7,0,4,0,46
7,PROXIMITY,19,0,8,0,42
7,DEGREE,25,0,5,0,45
7,PROTECTION,13,0,9,0,41
8,PROXIMITY,21,0,2,0,48
8,DEGREE,15,0,3,0,47
8,PROTECTION,13,0,4,0,46
9,PROXIMITY,23,0,1,0,49
9,DEGREE,11,0,10,0,40
9,PROTECTION,19,0,2,0,48
10,PROXIMITY,15,0,2,0,48
10,DEGREE,13,0,2,0,48
10,PROTECTION,13,0,2,0,48
11,PROXIMITY,15,0,1,0,49
11,DEGREE,15,0,3,0,47
11,PROTECTION,11,0,4,0,46
12,PROXIMITY,17,0,5,0,45
12,DEGREE,19,0,3,0,47
12,PROTECTION,13,0,6,0,44
13,PROXIMITY,19,0,3,0,47
13,DEGREE,19,0,4,0,46
13,PROTECTION,17,0,3,0,47
14,PROXIMITY,19,0,12,0,38
14,DEGREE,19,0,11,0,39
14,PROTECTION,15,0,10,0,40
15,PROXIMITY,17,0,3,0,47
15,DEGREE,15,0,3,0,47
15,PROTECTION,13,0,3,0,47
16,PROXIMITY,17,0,1,0,49
16,DEGREE,17,0,2,0,48
16,PROTECTION,11,0,5,0,45
17,PROXIMITY,15,0,1,0,49
17,DEGREE,11,0,5,0,45
17,PROTECTION,11,0,2,0,48
18,PROXIMITY,19,0,2,0,48
18,DEGREE,15,0,3,0,47
18,PROTECTION,11,0,5,0,45
19,PROXIMITY,19,0,2,0,48
19,DEGREE,17,0,4,0,46
19,PROTECTION,13,0,5,0,45
20,PROXIMITY,19,0,4,0,46
20,DEGREE,21,0,5,0,45
20,PROTECTION,9,0,8,0,42
21,PROXIMITY,13,0,1,0,49
21,DEGREE,13,0,2,0,48
21,PROTECTION,13,0,2,0,48
22,PROXIMITY,15,0,1,0,49
22,DEGREE,15,0,1,0,49
22,PROTECTION,13,0,2,0,48
23,PROXIMITY,19,0,2,0,48
23,DEGREE,19,0,3,0,47
23,PROTECTION,11,0,5,0,45
24,PROXIMITY,21,0,3,0,47
24,DEGREE,21,0,3,0,47
24,PROTECTION,13,0,7,0,43
25,PROXIMITY,33,0,4,0,46
25,DEGREE,31,0,4,0,46
25,PROTECTION,19,0,4,0,46
26,PROXIMITY,23,0,1,0,49
26,DEGREE,23,0,2,0,48
26,PROTECTION,19,0,1,0,49
27,PROXIMITY,13,0,4,0,46
27,DEGREE,11,0,4,0,46
27,PROTECTION,9,0,5,0,45
28,PROXIMITY,11,0,6,0,44
28,DEGREE,15,0,1,0,49
28,PROTECTION,9,0,4,0,46
29,PROXIMITY,21,0,6,0,44
29,DEGREE,25,0,5,0,45
29,PROTECTION,17,0,6,0,44
30,PROXIMITY,23,0,4,0,46
30,DEGREE,17,0,8,0,42
30,PROTECTION,15,0,7,0,43
31,PROXIMITY,13,0,2,0,48
31,DEGREE,11,0,3,0,47
31,PROTECTION,11,0,3,0,47
32,PROXIMITY,19,0,6,0,44
32,DEGREE,19,0,5,0,45
32,PROTECTION,13,0,9,0,41
33,PROXIMITY,9,0,4,0,46
33,DEGREE,9,0,4,0,46
33,PROTECTION,7,0,4,0,46
34,PROXIMITY,7,0,1,0,49
34,DEGREE,7,0,3,0,47
34,PROTECTION,7,0,1,0,49
35,PROXIMITY,19,0,1,0,49
35,DEGREE,13,0,4,0,46
35,PROTECTION,15,0,2,0,48
36,PROXIMITY,25,0,2,0,48
36,DEGREE,23,0,4,0,46
36,PROTECTION,19,0,4,0,46
37,PROXIMITY,21,0,1,0,49
37,DEGREE,23,0,3,0,47
37,PROTECTION,17,0,2,0,48
38,PROXIMITY,17,0,1,0,49
38,DEGREE,15,0,2,0,48
38,PROTECTION,15,0,1,0,49
39,PROXIMITY,19,0,2,0,48
39,DEGREE,17,0,3,0,47
39,PROTECTION,15,0,3,0,47
40,PROXIMITY,23,0,4,0,46
40,DEGREE,19,0,4,0,46
40,PROTECTION,19,0,4,0,46
41,PROXIMITY,15,0,1,0,49
41,DEGREE,13,0,2,0,48
41,PROTECTION,13,0,2,0,48
42,PROXIMITY,9,0,2,0,48
42,DEGREE,9,0,3,0,47
42,PROTECTION,7,0,3,0,47
43,PROXIMITY,0,0,1,0,49
43,DEGREE,0,0,1,0,49
43,PROTECTION,0,0,1,0,49
44,PROXIMITY,31,0,1,0,49
44,DEGREE,31,0,3,0,47
44,PROTECTION,21,0,2,0,48
45,PROXIMITY,17,0,5,0,45
45,DEGREE,15,0,5,0,45
45,PROTECTION,13,0,5,0,45
46,PROXIMITY,13,0,3,0,47
46,DEGREE,17,0,1,0,49
46,PROTECTION,13,0,2,0,48
47,PROXIMITY,11,0,1,0,49
47,DEGREE,11,0,1,0,49
47,PROTECTION,7,0,4,0,46
48,PROXIMITY,15,0,3,0,47
48,DEGREE,15,0,3,0,47
48,PROTECTION,15,0,1,0,49
49,PROXIMITY,13,0,1,0,49
49,DEGREE,13,0,3,0,47
49,PROTECTION,11,0,2,0,48

