OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,9,0,4,0,46
1,PROXIMITY,15,0,3,0,47
1,DEGREE,15,0,3,0,47
2,PROTECTION,19,0,3,0,47
3,PROXIMITY,19,0,1,0,49
4,PROTECTION,11,0,6,0,44
5,PROXIMITY,21,0,3,0,47
6,PROXIMITY,0,0,1,0,49
6,DEGREE,0,0,1,0,49
6,PROTECTION,0,0,1,0,49
7,PROXIMITY,11,0,1,0,49
7,PROTECTION,11,0,1,0,49
8,PROXIMITY,15,0,1,0,49
8,DEGREE,15,0,1,0,49
9,PROXIMITY,13,0,2,0,48
10,PROXIMITY,9,0,2,0,48
10,DEGREE,9,0,2,0,48
11,DEGREE,11,0,2,0,48
12,PROXIMITY,9,0,1,0,49
12,PROTECTION,9,0,1,0,49
13,PROXIMITY,19,0,4,0,46
14,PROTECTION,7,0,5,0,45
15,PROXIMITY,11,0,1,0,49
15,DEGREE,11,0,1,0,49
15,PROTECTION,11,0,1,0,49
16,PROXIMITY,7,0,1,0,49
16,DEGREE,7,0,1,0,49
17,PROXIMITY,13,0,4,0,46
18,PROXIMITY,9,0,1,0,49
19,PROXIMITY,7,0,1,0,49
20,PROXIMITY,7,0,1,0,49
20,DEGREE,7,0,1,0,49
21,PROXIMITY,21,0,2,0,48
22,PROXIMITY,15,0,3,0,47
23,PROTECTION,15,0,4,0,46
24,PROXIMITY,21,0,1,0,49
25,PROTECTION,7,0,4,0,46
26,PROXIMITY,15,0,2,0,48
27,PROTECTION,13,0,3,0,47
28,PROTECTION,11,0,3,0,47
29,PROXIMITY,7,0,1,0,49
30,PROXIMITY,11,0,1,0,49
30,DEGREE,11,0,1,0,49
31,PROXIMITY,15,0,3,0,47
31,DEGREE,15,0,3,0,47
32,PROTECTION,11,0,5,0,45
33,PROXIMITY,13,0,2,0,48
34,PROXIMITY,15,0,1,0,49
34,DEGREE,15,0,1,0,49
35,PROXIMITY,7,0,3,0,47
36,PROXIMITY,19,0,4,0,46
37,PROXIMITY,9,0,1,0,49
37,DEGREE,9,0,1,0,49
38,PROXIMITY,15,0,1,0,49
38,PROTECTION,15,0,1,0,49
39,PROXIMITY,11,0,2,0,48
40,PROTECTION,11,0,5,0,45
41,PROXIMITY,13,0,3,0,47
42,PROXIMITY,9,0,1,0,49
43,PROTECTION,11,0,3,0,47
44,PROXIMITY,0,0,1,0,49
44,DEGREE,0,0,1,0,49
44,PROTECTION,0,0,1,0,49
45,PROXIMITY,0,0,1,0,49
45,DEGREE,0,0,1,0,49
45,PROTECTION,0,0,1,0,49
46,PROXIMITY,11,0,1,0,49
46,PROTECTION,11,0,1,0,49
47,PROXIMITY,7,0,3,0,47
47,DEGREE,7,0,3,0,47
48,DEGREE,15,0,4,0,46
49,PROXIMITY,9,0,4,0,46
49,DEGREE,9,0,4,0,46

