OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,44,0,6
0,DEGREE,6,0,43,0,7
0,PROTECTION,6,0,37,0,13
1,PROXIMITY,6,0,45,0,5
1,DEGREE,6,0,45,0,5
1,PROTECTION,6,0,35,0,15
2,PROXIMITY,6,0,45,0,5
2,DEGREE,6,0,45,0,5
2,PROTECTION,7,0,36,0,14
3,PROXIMITY,6,0,41,0,9
3,DEGREE,6,0,42,0,8
3,PROTECTION,6,0,35,0,15
4,PROXIMITY,6,0,44,0,6
4,DEGREE,6,0,44,0,6
4,PROTECTION,6,0,35,0,15
5,PROXIMITY,6,0,44,0,6
5,DEGREE,6,0,44,0,6
5,PROTECTION,6,0,37,0,13
6,PROXIMITY,6,0,45,0,5
6,DEGREE,6,0,46,0,4
6,PROTECTION,6,0,33,0,17
7,PROXIMITY,7,0,42,0,8
7,DEGREE,6,0,43,0,7
7,PROTECTION,6,0,35,0,15
8,PROXIMITY,8,0,43,0,7
8,DEGREE,6,0,43,0,7
8,PROTECTION,6,0,35,0,15
9,PROXIMITY,6,0,46,0,4
9,DEGREE,6,0,46,0,4
9,PROTECTION,6,0,31,0,19
10,PROXIMITY,6,0,47,0,3
10,DEGREE,7,0,37,0,13
10,PROTECTION,8,0,31,0,19
11,PROXIMITY,6,0,46,0,4
11,DEGREE,6,0,45,0,5
11,PROTECTION,6,0,36,0,14
12,PROXIMITY,6,0,46,0,4
12,DEGREE,6,0,46,0,4
12,PROTECTION,6,0,36,0,14
13,PROXIMITY,6,0,46,0,4
13,DEGREE,6,0,46,0,4
13,PROTECTION,6,0,34,0,16
14,PROXIMITY,6,0,45,0,5
14,DEGREE,6,0,45,0,5
14,PROTECTION,8,0,33,0,17
15,PROXIMITY,6,0,46,0,4
15,DEGREE,6,0,46,0,4
15,PROTECTION,6,0,39,0,11
16,PROXIMITY,6,0,45,0,5
16,DEGREE,6,0,46,0,4
16,PROTECTION,6,0,35,0,15
17,PROXIMITY,6,0,46,0,4
17,DEGREE,6,0,46,0,4
17,PROTECTION,6,0,36,0,14
18,PROXIMITY,8,0,44,0,6
18,DEGREE,6,0,46,0,4
18,PROTECTION,7,0,35,0,15
19,PROXIMITY,6,0,44,0,6
19,DEGREE,6,0,44,0,6
19,PROTECTION,6,0,35,0,15
20,PROXIMITY,7,0,42,0,8
20,DEGREE,7,0,43,0,7
20,PROTECTION,6,0,35,0,15
21,PROXIMITY,6,0,43,0,7
21,DEGREE,6,0,43,0,7
21,PROTECTION,6,0,36,0,14
22,PROXIMITY,6,0,46,0,4
22,DEGREE,6,0,44,0,6
22,PROTECTION,6,0,35,0,15
23,PROXIMITY,6,0,46,0,4
23,DEGREE,6,0,45,0,5
23,PROTECTION,6,0,38,0,12
24,PROXIMITY,6,0,44,0,6
24,DEGREE,6,0,44,0,6
24,PROTECTION,6,0,37,0,13
25,PROXIMITY,6,0,45,0,5
25,DEGREE,6,0,46,0,4
25,PROTECTION,6,0,34,0,16
26,PROXIMITY,6,0,46,0,4
26,DEGREE,6,0,45,0,5
26,PROTECTION,6,0,38,0,12
27,PROXIMITY,7,0,45,0,5
27,DEGREE,6,0,47,0,3
27,PROTECTION,7,0,33,0,17
28,PROXIMITY,6,0,46,0,4
28,DEGREE,6,0,43,0,7
