OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,4,0,36,0,14
1,PROTECTION,4,0,41,0,9
2,PROTECTION,5,0,37,0,13
3,PROTECTION,5,0,36,0,14
4,PROTECTION,5,0,37,0,13
5,PROTECTION,5,0,34,0,16
6,PROTECTION,4,0,37,0,13
7,PROTECTION,4,0,36,0,14
8,PROTECTION,4,0,35,0,15
9,PROTECTION,4,0,39,0,11
10,PROTECTION,5,0,35,0,15
11,PROTECTION,4,0,39,0,11
12,PROTECTION,5,0,37,0,13
13,PROTECTION,4,0,36,0,14
14,PROTECTION,4,0,36,0,14
15,PROTECTION,4,0,36,0,14
16,PROTECTION,4,0,38,0,12
17,PROTECTION,4,0,39,0,11
18,PROTECTION,4,0,37,0,13
19,PROTECTION,4,0,37,0,13
20,PROTECTION,4,0,37,0,13
21,PROTECTION,4,0,37,0,13
22,PROTECTION,4,0,40,0,10
23,PROTECTION,4,0,36,0,14
24,PROTECTION,4,0,37,0,13
25,PROTECTION,5,0,33,0,17
26,PROTECTION,4,0,37,0,13
27,PROTECTION,5,0,36,0,14
28,PROTECTION,5,0,35,0,15
29,PROTECTION,4,0,38,0,12
30,PROTECTION,5,0,32,0,18
31,PROTECTION,4,0,38,0,12
32,PROTECTION,4,0,40,0,10
33,PROTECTION,4,0,40,0,10
34,PROTECTION,4,0,37,0,13
35,PROTECTION,4,0,35,0,15
36,PROTECTION,6,0,37,0,13
37,PROTECTION,6,0,34,0,16
38,PROTECTION,5,0,30,0,20
39,PROTECTION,5,0,38,0,12
40,PROTECTION,4,0,36,0,14
41,PROTECTION,4,0,39,0,11
42,PROTECTION,5,0,40,0,10
43,PROTECTION,4,0,37,0,13
44,PROTECTION,5,0,34,0,16
45,PROTECTION,4,0,39,0,11
46,PROTECTION,4,0,37,0,13
47,PROTECTION,4,0,38,0,12
48,PROTECTION,4,0,37,0,13
49,PROTECTION,6,0,40,0,10

