P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.10,RANDOM,PROXIMITY,19
0.10,RANDOM,DEGREE,8
0.10,RANDOM,PROTECTION,11
0.20,RANDOM,PROXIMITY,0
0.20,RANDOM,DEGREE,0
0.20,RANDOM,PROTECTION,25
0.30,RANDOM,PROXIMITY,0
0.30,RANDOM,DEGREE,0
0.30,RANDOM,PROTECTION,25
0.40,RANDOM,PROXIMITY,0
0.40,RANDOM,DEGREE,0
0.40,RANDOM,PROTECTION,25
0.50,RANDOM,PROXIMITY,0
0.50,RANDOM,DEGREE,0
0.50,RANDOM,PROTECTION,25
0.60,RANDOM,PROXIMITY,0
0.60,RANDOM,DEGREE,0
0.60,RANDOM,PROTECTION,25
0.70,RANDOM,PROXIMITY,0
0.70,RANDOM,DEGREE,0
0.70,RANDOM,PROTECTION,25
0.80,RANDOM,PROXIMITY,0
0.80,RANDOM,DEGREE,0
0.80,RANDOM,PROTECTION,25
0.90,RANDOM,PROXIMITY,0
0.90,RANDOM,DEGREE,0
0.90,RANDOM,PROTECTION,25
