OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,1,0,49
1,PROXIMITY,13,0,1,0,49
1,DEGREE,13,0,1,0,49
2,PROXIMITY,9,0,1,0,49
2,PROTECTION,9,0,1,0,49
3,PROXIMITY,5,0,1,0,49
4,PROXIMITY,1,0,1,0,49
4,DEGREE,1,0,1,0,49
4,PROTECTION,1,0,1,0,49
5,PROXIMITY,5,0,1,0,49
5,DEGREE,5,0,1,0,49
5,PROTECTION,5,0,1,0,49
6,PROXIMITY,11,0,1,0,49
7,PROXIMITY,9,0,2,0,48
7,DEGREE,9,0,2,0,48
8,PROXIMITY,0,0,1,0,49
8,DEGREE,0,0,1,0,49
8,PROTECTION,0,0,1,0,49
9,PROTECTION,7,0,11,0,39
10,PROTECTION,17,0,4,0,46
11,PROXIMITY,9,0,4,0,46
11,PROTECTION,9,0,4,0,46
12,PROXIMITY,13,0,1,0,49
12,PROTECTION,13,0,1,0,49
13,PROTECTION,9,0,5,0,45
14,PROXIMITY,1,0,1,0,49
14,DEGREE,1,0,1,0,49
14,PROTECTION,1,0,1,0,49
15,PROXIMITY,0,0,1,0,49
15,DEGREE,0,0,1,0,49
15,PROTECTION,0,0,1,0,49
16,PROXIMITY,1,0,1,0,49
16,DEGREE,1,0,1,0,49
16,PROTECTION,1,0,1,0,49
17,PROXIMITY,15,0,2,0,48
18,PROXIMITY,15,0,3,0,47
19,PROXIMITY,17,0,1,0,49
20,PROXIMITY,13,0,3,0,47
21,PROXIMITY,1,0,1,0,49
21,DEGREE,1,0,1,0,49
21,PROTECTION,1,0,1,0,49
22,PROXIMITY,11,0,1,0,49
23,PROXIMITY,17,0,8,0,42
23,DEGREE,17,0,8,0,42
24,PROXIMITY,0,0,1,0,49
24,DEGREE,0,0,1,0,49
24,PROTECTION,0,0,1,0,49
25,PROXIMITY,15,0,2,0,48
26,PROXIMITY,11,0,1,0,49
27,PROTECTION,11,0,5,0,45
28,PROXIMITY,0,0,1,0,49
28,DEGREE,0,0,1,0,49
28,PROTECTION,0,0,1,0,49
29,DEGREE,9,0,2,0,48
29,PROTECTION,9,0,2,0,48
30,PROXIMITY,13,0,3,0,47
30,DEGREE,13,0,3,0,47
31,PROXIMITY,15,0,1,0,49
32,PROXIMITY,9,0,1,0,49
32,PROTECTION,9,0,1,0,49
33,PROXIMITY,0,0,1,0,49
33,DEGREE,0,0,1,0,49
33,PROTECTION,0,0,1,0,49
34,PROXIMITY,11,0,1,0,49
35,PROXIMITY,15,0,3,0,47
36,DEGREE,19,0,6,0,44
36,PROTECTION,19,0,6,0,44
37,PROXIMITY,11,0,1,0,49
38,PROXIMITY,11,0,2,0,48
39,PROXIMITY,9,0,3,0,47
40,PROXIMITY,11,0,8,0,42
41,PROXIMITY,13,0,1,0,49
41,PROTECTION,13,0,1,0,49
42,PROTECTION,7,0,4,0,46
43,DEGREE,11,0,2,0,48
43,PROTECTION,11,0,2,0,48
44,PROXIMITY,11,0,4,0,46
44,PROTECTION,11,0,4,0,46
45,PROXIMITY,1,0,1,0,49
45,DEGREE,1,0,1,0,49
45,PROTECTION,1,0,1,0,49
46,PROXIMITY,15,0,3,0,47
47,DEGREE,7,0,4,0,46
48,PROXIMITY,0,0,1,0,49
48,DEGREE,0,0,1,0,49
48,PROTECTION,0,0,1,0,49
49,PROXIMITY,11,0,6,0,44

