OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,28,0,22
0,DEGREE,5,0,27,0,23
0,PROTECTION,6,0,21,0,29
1,PROXIMITY,5,0,21,0,29
1,DEGREE,5,0,22,0,28
1,PROTECTION,6,0,16,0,34
2,PROXIMITY,6,0,25,0,25
2,DEGREE,5,0,24,0,26
2,PROTECTION,7,0,20,0,30
3,PROXIMITY,6,0,30,0,20
3,DEGREE,6,0,30,0,20
3,PROTECTION,7,0,22,0,28
4,PROXIMITY,6,0,29,0,21
4,DEGREE,6,0,29,0,21
4,PROTECTION,6,0,20,0,30
5,PROXIMITY,5,0,25,0,25
5,DEGREE,5,0,25,0,25
5,PROTECTION,4,0,20,0,30
6,PROXIMITY,6,0,33,0,17
6,DEGREE,5,0,32,0,18
6,PROTECTION,6,0,23,0,27
7,PROXIMITY,9,0,14,0,36
7,DEGREE,7,0,15,0,35
7,PROTECTION,6,0,14,0,36
8,PROXIMITY,6,0,24,0,26
8,DEGREE,6,0,24,0,26
8,PROTECTION,6,0,20,0,30
9,PROXIMITY,6,0,25,0,25
9,DEGREE,6,0,25,0,25
9,PROTECTION,5,0,16,0,34
10,PROXIMITY,6,0,26,0,24
10,DEGREE,5,0,28,0,22
10,PROTECTION,6,0,22,0,28
11,PROXIMITY,5,0,27,0,23
11,DEGREE,5,0,27,0,23
11,PROTECTION,6,0,21,0,29
12,PROXIMITY,7,0,27,0,23
12,DEGREE,6,0,27,0,23
12,PROTECTION,6,0,23,0,27
13,PROXIMITY,5,0,28,0,22
13,DEGREE,5,0,28,0,22
13,PROTECTION,5,0,21,0,29
14,PROXIMITY,5,0,21,0,29
14,DEGREE,5,0,21,0,29
14,PROTECTION,6,0,15,0,35
15,PROXIMITY,5,0,30,0,20
15,DEGREE,5,0,30,0,20
15,PROTECTION,4,0,29,0,21
16,PROXIMITY,4,0,27,0,23
16,DEGREE,4,0,27,0,23
16,PROTECTION,4,0,17,0,33
17,PROXIMITY,5,0,24,0,26
17,DEGREE,4,0,26,0,24
17,PROTECTION,5,0,21,0,29
18,PROXIMITY,5,0,27,0,23
18,DEGREE,5,0,27,0,23
18,PROTECTION,4,0,21,0,29
19,PROXIMITY,5,0,25,0,25
19,DEGREE,5,0,24,0,26
19,PROTECTION,5,0,20,0,30
20,PROXIMITY,5,0,22,0,28
20,DEGREE,5,0,22,0,28
20,PROTECTION,6,0,17,0,33
21,PROXIMITY,5,0,22,0,28
21,DEGREE,5,0,21,0,29
21,PROTECTION,4,0,16,0,34
22,PROXIMITY,6,0,21,0,29
22,DEGREE,5,0,19,0,31
22,PROTECTION,5,0,18,0,32
23,PROXIMITY,6,0,32,0,18
23,DEGREE,6,0,30,0,20
23,PROTECTION,6,0,23,0,27
24,PROXIMITY,9,0,21,0,29
24,DEGREE,6,0,22,0,28
24,PROTECTION,6,0,19,0,31
25,PROXIMITY,4,0,30,0,20
25,DEGREE,4,0,29,0,21
25,PROTECTION,4,0,24,0,26
26,PROXIMITY,6,0,26,0,24
26,DEGREE,6,0,25,0,25
26,PROTECTION,5,0,19,0,31
27,PROXIMITY,6,0,24,0,26
27,DEGREE,5,0,24,0,26
27,PROTECTION,6,0,18,0,32
28,PROXIMITY,6,0,26,0,24
28,DEGREE,6,0,25,0,25
28,PROTECTION,5,0,20,0,30
29,PROXIMITY,7,0,21,0,29
29,DEGREE,6,0,24,0,26
29,PROTECTION,7,0,15,0,35
30,PROXIMITY,6,0,20,0,30
30,DEGREE,5,0,20,0,30
30,PROTECTION,6,0,14,0,36
31,PROXIMITY,6,0,23,0,27
31,DEGREE,6,0,22,0,28
31,PROTECTION,6,0,15,0,35
32,PROXIMITY,6,0,29,0,21
32,DEGREE,6,0,31,0,19
32,PROTECTION,8,0,21,0,29
33,PROXIMITY,6,0,29,0,21
33,DEGREE,6,0,29,0,21
33,PROTECTION,6,0,21,0,29
34,PROXIMITY,7,0,17,0,33
34,DEGREE,7,0,19,0,31
34,PROTECTION,6,0,17,0,33
35,PROXIMITY,5,0,26,0,24
35,DEGREE,5,0,26,0,24
35,PROTECTION,5,0,19,0,31
36,PROXIMITY,5,0,28,0,22
36,DEGREE,5,0,28,0,22
36,PROTECTION,5,0,22,0,28
37,PROXIMITY,5,0,25,0,25
37,DEGREE,5,0,25,0,25
37,PROTECTION,4,0,18,0,32
38,PROXIMITY,6,0,23,0,27
38,DEGREE,5,0,28,0,22
38,PROTECTION,6,0,19,0,31
39,PROXIMITY,6,0,20,0,30
39,DEGREE,6,0,21,0,29
39,PROTECTION,5,0,18,0,32
40,PROXIMITY,6,0,26,0,24
40,DEGREE,6,0,26,0,24
40,PROTECTION,6,0,20,0,30
41,PROXIMITY,5,0,25,0,25
41,DEGREE,5,0,27,0,23
41,PROTECTION,5,0,24,0,26
42,PROXIMITY,6,0,21,0,29
42,DEGREE,5,0,21,0,29
42,PROTECTION,6,0,14,0,36
43,PROXIMITY,5,0,25,0,25
43,DEGREE,5,0,25,0,25
43,PROTECTION,4,0,19,0,31
44,PROXIMITY,5,0,18,0,32
44,DEGREE,4,0,20,0,30
44,PROTECTION,5,0,17,0,33
45,PROXIMITY,6,0,26,0,24
45,DEGREE,6,0,27,0,23
45,PROTECTION,6,0,18,0,32
46,PROXIMITY,5,0,32,0,18
46,DEGREE,5,0,33,0,17
46,PROTECTION,5,0,22,0,28
47,PROXIMITY,6,0,26,0,24
47,DEGREE,6,0,26,0,24
47,PROTECTION,7,0,18,0,32
48,PROXIMITY,7,0,20,0,30
48,DEGREE,7,0,20,0,30
48,PROTECTION,5,0,16,0,34
49,PROXIMITY,6,0,24,0,26
49,DEGREE,6,0,24,0,26
49,PROTECTION,4,0,21,0,29

