OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,46,0,4
0,DEGREE,5,0,44,0,6
0,PROTECTION,5,0,37,0,13
1,PROXIMITY,6,0,45,0,5
1,DEGREE,6,0,41,0,9
1,PROTECTION,6,0,33,0,17
2,PROXIMITY,5,0,47,0,3
2,DEGREE,5,0,46,0,4
2,PROTECTION,4,0,37,0,13
3,PROXIMITY,6,0,46,0,4
3,DEGREE,5,0,46,0,4
3,PROTECTION,5,0,37,0,13
4,PROXIMITY,6,0,44,0,6
4,DEGREE,6,0,43,0,7
4,PROTECTION,6,0,33,0,17
5,PROXIMITY,6,0,46,0,4
5,DEGREE,5,0,45,0,5
5,PROTECTION,4,0,36,0,14
6,PROXIMITY,6,0,47,0,3
6,DEGREE,6,0,47,0,3
6,PROTECTION,6,0,34,0,16
7,PROXIMITY,6,0,45,0,5
7,DEGREE,6,0,44,0,6
7,PROTECTION,6,0,37,0,13
8,PROXIMITY,6,0,45,0,5
8,DEGREE,6,0,45,0,5
8,PROTECTION,6,0,36,0,14
9,PROXIMITY,5,0,41,0,9
9,DEGREE,4,0,46,0,4
9,PROTECTION,5,0,34,0,16
10,PROXIMITY,6,0,45,0,5
10,DEGREE,6,0,46,0,4
10,PROTECTION,6,0,39,0,11
11,PROXIMITY,6,0,43,0,7
11,DEGREE,6,0,46,0,4
11,PROTECTION,6,0,34,0,16
12,PROXIMITY,6,0,40,0,10
12,DEGREE,6,0,43,0,7
12,PROTECTION,6,0,33,0,17
13,PROXIMITY,6,0,45,0,5
13,DEGREE,6,0,43,0,7
13,PROTECTION,6,0,34,0,16
14,PROXIMITY,6,0,46,0,4
14,DEGREE,6,0,45,0,5
14,PROTECTION,6,0,32,0,18
15,PROXIMITY,5,0,42,0,8
15,DEGREE,5,0,44,0,6
15,PROTECTION,5,0,35,0,15
16,PROXIMITY,6,0,45,0,5
16,DEGREE,6,0,46,0,4
16,PROTECTION,6,0,36,0,14
17,PROXIMITY,6,0,46,0,4
17,DEGREE,6,0,45,0,5
17,PROTECTION,6,0,33,0,17
18,PROXIMITY,5,0,45,0,5
18,DEGREE,5,0,44,0,6
18,PROTECTION,5,0,39,0,11
19,PROXIMITY,6,0,46,0,4
19,DEGREE,5,0,46,0,4
19,PROTECTION,6,0,36,0,14
20,PROXIMITY,7,0,43,0,7
20,DEGREE,6,0,45,0,5
20,PROTECTION,6,0,33,0,17
21,PROXIMITY,6,0,40,0,10
21,DEGREE,6,0,40,0,10
21,PROTECTION,6,0,29,0,21
22,PROXIMITY,7,0,43,0,7
22,DEGREE,6,0,45,0,5
22,PROTECTION,6,0,37,0,13
23,PROXIMITY,5,0,45,0,5
23,DEGREE,5,0,45,0,5
23,PROTECTION,6,0,36,0,14
24,PROXIMITY,5,0,46,0,4
24,DEGREE,5,0,46,0,4
24,PROTECTION,6,0,38,0,12
25,PROXIMITY,6,0,44,0,6
25,DEGREE,6,0,43,0,7
25,PROTECTION,6,0,35,0,15
26,PROXIMITY,6,0,45,0,5
26,DEGREE,6,0,45,0,5
26,PROTECTION,6,0,34,0,16
27,PROXIMITY,6,0,45,0,5
27,DEGREE,6,0,45,0,5
27,PROTECTION,6,0,38,0,12
28,PROXIMITY,6,0,46,0,4
28,DEGREE,6,0,47,0,3
28,PROTECTION,6,0,36,0,14
29,PROXIMITY,6,0,45,0,5
29,DEGREE,6,0,43,0,7
29,PROTECTION,6,0,36,0,14
30,PROXIMITY,6,0,47,0,3
30,DEGREE,6,0,46,0,4
30,PROTECTION,6,0,36,0,14
31,PROXIMITY,7,0,43,0,7
31,DEGREE,6,0,43,0,7
31,PROTECTION,6,0,36,0,14
32,PROXIMITY,5,0,47,0,3
32,DEGREE,5,0,47,0,3
32,PROTECTION,5,0,37,0,13
33,PROXIMITY,6,0,45,0,5
33,DEGREE,6,0,46,0,4
33,PROTECTION,6,0,34,0,16
34,PROXIMITY,5,0,46,0,4
34,DEGREE,5,0,46,0,4
34,PROTECTION,5,0,35,0,15
35,PROXIMITY,6,0,46,0,4
35,DEGREE,5,0,47,0,3
35,PROTECTION,6,0,38,0,12
36,PROXIMITY,6,0,47,0,3
36,DEGREE,6,0,46,0,4
36,PROTECTION,6,0,35,0,15
37,PROXIMITY,6,0,46,0,4
37,DEGREE,6,0,47,0,3
37,PROTECTION,6,0,34,0,16
38,PROXIMITY,6,0,44,0,6
38,DEGREE,6,0,45,0,5
38,PROTECTION,7,0,32,0,18
39,PROXIMITY,6,0,43,0,7
39,DEGREE,6,0,43,0,7
39,PROTECTION,6,0,35,0,15
40,PROXIMITY,7,0,41,0,9
40,DEGREE,6,0,45,0,5
40,PROTECTION,6,0,35,0,15
41,PROXIMITY,6,0,44,0,6
41,DEGREE,5,0,44,0,6
41,PROTECTION,6,0,32,0,18
42,PROXIMITY,6,0,46,0,4
42,DEGREE,6,0,46,0,4
42,PROTECTION,6,0,35,0,15
43,PROXIMITY,6,0,45,0,5
43,DEGREE,6,0,45,0,5
43,PROTECTION,6,0,34,0,16
44,PROXIMITY,6,0,47,0,3
44,DEGREE,6,0,46,0,4
44,PROTECTION,6,0,37,0,13
45,PROXIMITY,6,0,44,0,6
45,DEGREE,6,0,45,0,5
45,PROTECTION,6,0,39,0,11
46,PROXIMITY,6,0,45,0,5
46,DEGREE,6,0,46,0,4
46,PROTECTION,6,0,34,0,16
47,PROXIMITY,6,0,45,0,5
47,DEGREE,6,0,45,0,5
47,PROTECTION,6,0,33,0,17
48,PROXIMITY,6,0,46,0,4
48,DEGREE,6,0,45,0,5
48,PROTECTION,6,0,34,0,16
49,PROXIMITY,6,0,40,0,10
49,DEGREE,6,0,46,0,4
49,PROTECTION,6,0,36,0,14

