OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,6,0,32,0,18
1,PROTECTION,6,0,35,0,15
2,PROTECTION,6,0,38,0,12
3,PROTECTION,6,0,36,0,14
4,PROTECTION,6,0,36,0,14
5,PROXIMITY,47,0,1,0,49
6,PROTECTION,6,0,37,0,13
7,PROTECTION,6,0,34,0,16
8,PROTECTION,6,0,37,0,13
9,PROTECTION,7,0,34,0,16
10,PROTECTION,6,0,35,0,15
11,PROTECTION,6,0,34,0,16
12,PROTECTION,6,0,34,0,16
13,PROTECTION,6,0,35,0,15
14,PROTECTION,6,0,36,0,14
15,PROTECTION,6,0,35,0,15
16,PROTECTION,5,0,35,0,15
17,PROTECTION,6,0,31,0,19
18,PROTECTION,6,0,36,0,14
19,PROTECTION,6,0,33,0,17
20,PROTECTION,6,0,37,0,13
21,PROTECTION,7,0,35,0,15
22,PROTECTION,6,0,35,0,15
23,PROTECTION,6,0,37,0,13
24,PROTECTION,6,0,32,0,18
25,PROTECTION,6,0,33,0,17
26,PROTECTION,7,0,31,0,19
27,PROTECTION,6,0,36,0,14
28,PROTECTION,7,0,32,0,18
29,PROTECTION,7,0,38,0,12
30,PROTECTION,9,0,28,0,22
31,PROTECTION,6,0,38,0,12
32,PROTECTION,7,0,34,0,16
33,PROTECTION,6,0,35,0,15
34,PROTECTION,8,0,35,0,15
35,PROTECTION,6,0,40,0,10
36,PROTECTION,6,0,35,0,15
37,PROTECTION,6,0,35,0,15
38,PROTECTION,6,0,33,0,17
39,PROTECTION,6,0,36,0,14
40,PROTECTION,6,0,34,0,16
41,PROTECTION,6,0,37,0,13
42,PROTECTION,6,0,34,0,16
43,PROTECTION,6,0,38,0,12
44,PROTECTION,6,0,41,0,9
45,PROTECTION,6,0,32,0,18
46,PROTECTION,5,0,36,0,14
47,PROTECTION,7,0,35,0,15
48,PROTECTION,6,0,37,0,13
49,PROTECTION,6,0,35,0,15

