OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,4,0,19,0,31
1,PROTECTION,4,0,28,0,22
2,PROTECTION,4,0,29,0,21
3,PROTECTION,4,0,26,0,24
4,PROTECTION,4,0,26,0,24
5,PROTECTION,4,0,27,0,23
6,PROTECTION,4,0,27,0,23
7,PROTECTION,4,0,22,0,28
8,PROTECTION,4,0,26,0,24
9,PROTECTION,4,0,30,0,20
10,PROTECTION,4,0,27,0,23
11,PROTECTION,4,0,27,0,23
12,PROTECTION,4,0,25,0,25
13,PROTECTION,4,0,23,0,27
14,PROTECTION,4,0,25,0,25
15,PROTECTION,4,0,24,0,26
16,PROTECTION,4,0,28,0,22
17,PROTECTION,4,0,23,0,27
18,PROTECTION,4,0,30,0,20
19,PROTECTION,4,0,32,0,18
20,PROTECTION,4,0,26,0,24
21,PROTECTION,4,0,25,0,25
22,PROTECTION,4,0,23,0,27
23,PROTECTION,4,0,22,0,28
24,PROTECTION,4,0,29,0,21
25,PROTECTION,4,0,26,0,24
26,PROTECTION,4,0,25,0,25
27,PROTECTION,4,0,32,0,18
28,PROTECTION,4,0,23,0,27
29,PROTECTION,4,0,27,0,23
30,PROTECTION,4,0,26,0,24
31,PROTECTION,4,0,21,0,29
32,PROTECTION,4,0,29,0,21
33,PROTECTION,4,0,21,0,29
34,PROTECTION,4,0,21,0,29
35,PROTECTION,4,0,26,0,24
36,PROTECTION,4,0,23,0,27
37,PROTECTION,4,0,26,0,24
38,PROTECTION,4,0,29,0,21
39,PROTECTION,4,0,27,0,23
40,PROTECTION,4,0,23,0,27
41,PROTECTION,4,0,25,0,25
42,PROTECTION,4,0,24,0,26
43,PROTECTION,4,0,27,0,23
44,PROTECTION,4,0,24,0,26
45,PROTECTION,4,0,27,0,23
46,PROTECTION,4,0,23,0,27
47,PROTECTION,4,0,20,0,30
48,PROTECTION,4,0,25,0,25
49,PROTECTION,4,0,27,0,23

