OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,4,0,36,0,14
1,PROTECTION,4,0,39,0,11
2,PROTECTION,4,0,40,0,10
3,PROTECTION,4,0,39,0,11
4,PROTECTION,4,0,40,0,10
5,PROTECTION,4,0,38,0,12
6,PROTECTION,4,0,36,0,14
7,PROTECTION,4,0,40,0,10
8,PROTECTION,4,0,40,0,10
9,PROTECTION,4,0,39,0,11
10,PROTECTION,4,0,34,0,16
11,PROTECTION,4,0,36,0,14
12,PROTECTION,4,0,39,0,11
13,PROTECTION,4,0,32,0,18
14,PROTECTION,4,0,39,0,11
15,PROTECTION,4,0,38,0,12
16,PROTECTION,4,0,39,0,11
17,PROTECTION,4,0,39,0,11
18,PROTECTION,4,0,38,0,12
19,PROTECTION,4,0,39,0,11
20,PROTECTION,4,0,41,0,9
21,PROTECTION,4,0,37,0,13
22,PROTECTION,4,0,38,0,12
23,PROTECTION,4,0,39,0,11
24,PROTECTION,4,0,38,0,12
25,PROTECTION,4,0,40,0,10
26,PROTECTION,4,0,41,0,9
27,PROTECTION,4,0,38,0,12
28,PROTECTION,4,0,37,0,13
29,PROTECTION,4,0,38,0,12
30,PROTECTION,4,0,37,0,13
31,PROTECTION,4,0,37,0,13
32,PROTECTION,4,0,37,0,13
33,PROTECTION,4,0,39,0,11
34,PROTECTION,4,0,37,0,13
35,PROTECTION,4,0,37,0,13
36,PROTECTION,4,0,35,0,15
37,PROTECTION,4,0,40,0,10
38,PROTECTION,4,0,39,0,11
39,PROTECTION,4,0,35,0,15
40,PROTECTION,4,0,40,0,10
41,PROTECTION,4,0,38,0,12
42,PROTECTION,4,0,39,0,11
43,PROTECTION,4,0,37,0,13
44,PROTECTION,4,0,37,0,13
45,PROTECTION,4,0,37,0,13
46,PROTECTION,4,0,37,0,13
47,PROTECTION,4,0,38,0,12
48,PROTECTION,4,0,39,0,11
49,PROTECTION,4,0,37,0,13

