OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,1,0,49
1,PROXIMITY,3,0,1,0,49
2,PROXIMITY,5,0,1,0,49
3,PROXIMITY,5,0,1,0,49
4,PROXIMITY,9,0,1,0,49
5,PROXIMITY,11,0,1,0,49
6,PROXIMITY,7,0,1,0,49
7,PROXIMITY,7,0,1,0,49
8,PROXIMITY,9,0,1,0,49
9,PROXIMITY,11,0,1,0,49
10,PROXIMITY,5,0,1,0,49
11,PROXIMITY,9,0,1,0,49
12,PROXIMITY,9,0,1,0,49
13,PROXIMITY,13,0,1,0,49
14,PROXIMITY,5,0,1,0,49
15,PROXIMITY,7,0,1,0,49
16,PROXIMITY,7,0,1,0,49
17,PROXIMITY,11,0,1,0,49
18,PROXIMITY,9,0,1,0,49
19,PROXIMITY,7,0,1,0,49
20,PROXIMITY,9,0,1,0,49
21,PROXIMITY,13,0,1,0,49
22,PROXIMITY,5,0,1,0,49
23,PROXIMITY,7,0,1,0,49
24,PROXIMITY,7,0,1,0,49
25,PROXIMITY,9,0,1,0,49
26,PROXIMITY,5,0,1,0,49
27,PROXIMITY,3,0,1,0,49
28,PROXIMITY,9,0,1,0,49
29,PROXIMITY,9,0,1,0,49
30,PROXIMITY,7,0,1,0,49
31,PROXIMITY,9,0,1,0,49
32,PROXIMITY,7,0,1,0,49
33,PROXIMITY,7,0,1,0,49
34,PROXIMITY,7,0,1,0,49
35,PROXIMITY,9,0,1,0,49
36,PROXIMITY,9,0,1,0,49
37,PROXIMITY,7,0,1,0,49
38,PROXIMITY,13,0,1,0,49
39,PROXIMITY,9,0,1,0,49
40,PROXIMITY,9,0,1,0,49
41,PROXIMITY,5,0,1,0,49
42,PROXIMITY,5,0,1,0,49
43,PROXIMITY,5,0,1,0,49
44,PROXIMITY,7,0,1,0,49
45,PROXIMITY,7,0,1,0,49
46,PROXIMITY,7,0,1,0,49
47,PROXIMITY,3,0,1,0,49
47,PROTECTION,3,0,1,0,49
48,PROXIMITY,5,0,1,0,49
49,PROXIMITY,5,0,1,0,49

