P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.05,DETERMINISTIC,PROXIMITY,500
0.05,DETERMINISTIC,DEGREE,93
0.05,DETERMINISTIC,PROTECTION,63
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.10,DETERMINISTIC,PROXIMITY,500
0.10,DETERMINISTIC,DEGREE,9
0.10,DETERMINISTIC,PROTECTION,5
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
0.15,DETERMINISTIC,DEGREE,0
0.15,DETERMINISTIC,PROTECTION,0
0.15,DETERMINISTIC,PROXIMITY,500
