OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,25,0,25
0,DEGREE,5,0,25,0,25
0,PROTECTION,4,0,17,0,33
1,PROXIMITY,5,0,28,0,22
1,DEGREE,5,0,28,0,22
1,PROTECTION,7,0,22,0,28
2,PROXIMITY,6,0,28,0,22
2,DEGREE,5,0,30,0,20
2,PROTECTION,9,0,19,0,31
3,PROXIMITY,7,0,23,0,27
3,DEGREE,7,0,22,0,28
3,PROTECTION,7,0,19,0,31
4,PROXIMITY,6,0,19,0,31
4,DEGREE,6,0,20,0,30
4,PROTECTION,5,0,15,0,35
5,PROXIMITY,7,0,21,0,29
5,DEGREE,7,0,21,0,29
5,PROTECTION,7,0,16,0,34
6,PROXIMITY,7,0,22,0,28
6,DEGREE,6,0,26,0,24
6,PROTECTION,6,0,17,0,33
7,PROXIMITY,8,0,20,0,30
7,DEGREE,7,0,19,0,31
7,PROTECTION,7,0,16,0,34
8,PROXIMITY,5,0,25,0,25
8,DEGREE,5,0,25,0,25
8,PROTECTION,5,0,17,0,33
9,PROXIMITY,6,0,29,0,21
9,DEGREE,6,0,29,0,21
9,PROTECTION,6,0,22,0,28
10,PROXIMITY,5,0,19,0,31
10,DEGREE,5,0,19,0,31
10,PROTECTION,6,0,15,0,35
11,PROXIMITY,4,0,23,0,27
11,DEGREE,4,0,23,0,27
11,PROTECTION,4,0,17,0,33
12,PROXIMITY,6,0,22,0,28
12,DEGREE,6,0,22,0,28
12,PROTECTION,6,0,17,0,33
13,PROXIMITY,6,0,18,0,32
13,DEGREE,6,0,17,0,33
13,PROTECTION,6,0,14,0,36
14,PROXIMITY,5,0,28,0,22
14,DEGREE,5,0,28,0,22
14,PROTECTION,6,0,22,0,28
15,PROXIMITY,6,0,30,0,20
15,DEGREE,5,0,28,0,22
15,PROTECTION,5,0,23,0,27
16,PROXIMITY,5,0,31,0,19
16,DEGREE,5,0,30,0,20
16,PROTECTION,5,0,22,0,28
17,PROXIMITY,7,0,16,0,34
17,DEGREE,7,0,16,0,34
17,PROTECTION,7,0,12,0,38
18,PROXIMITY,6,0,27,0,23
18,DEGREE,6,0,27,0,23
18,PROTECTION,7,0,20,0,30
19,PROXIMITY,5,0,24,0,26
19,DEGREE,5,0,24,0,26
19,PROTECTION,4,0,22,0,28
20,PROXIMITY,7,0,21,0,29
20,DEGREE,7,0,21,0,29
20,PROTECTION,6,0,15,0,35
21,PROXIMITY,6,0,24,0,26
21,DEGREE,6,0,24,0,26
21,PROTECTION,7,0,15,0,35
22,PROXIMITY,4,0,25,0,25
22,DEGREE,4,0,25,0,25
22,PROTECTION,5,0,18,0,32
23,PROXIMITY,6,0,23,0,27
23,DEGREE,6,0,22,0,28
23,PROTECTION,5,0,17,0,33
24,PROXIMITY,6,0,27,0,23
24,DEGREE,5,0,28,0,22
24,PROTECTION,5,0,23,0,27
25,PROXIMITY,7,0,22,0,28
25,DEGREE,7,0,21,0,29
25,PROTECTION,4,0,19,0,31
26,PROXIMITY,6,0,23,0,27
26,DEGREE,6,0,23,0,27
26,PROTECTION,6,0,17,0,33
27,PROXIMITY,8,0,22,0,28
27,DEGREE,6,0,24,0,26
27,PROTECTION,8,0,17,0,33
28,PROXIMITY,5,0,22,0,28
28,DEGREE,5,0,22,0,28
28,PROTECTION,5,0,17,0,33
29,PROXIMITY,5,0,30,0,20
29,DEGREE,5,0,30,0,20
29,PROTECTION,5,0,23,0,27
30,PROXIMITY,5,0,25,0,25
30,DEGREE,5,0,25,0,25
30,PROTECTION,5,0,21,0,29
31,PROXIMITY,9,0,13,0,37
31,DEGREE,5,0,17,0,33
31,PROTECTION,9,0,9,0,41
32,PROXIMITY,7,0,18,0,32
32,DEGREE,7,0,19,0,31
32,PROTECTION,13,0,12,0,38
33,PROXIMITY,6,0,28,0,22
33,DEGREE,5,0,28,0,22
33,PROTECTION,4,0,24,0,26
34,PROXIMITY,4,0,27,0,23
34,DEGREE,4,0,26,0,24
34,PROTECTION,4,0,19,0,31
35,PROXIMITY,6,0,28,0,22
35,DEGREE,5,0,29,0,21
35,PROTECTION,5,0,23,0,27
36,PROXIMITY,6,0,25,0,25
36,DEGREE,6,0,26,0,24
36,PROTECTION,4,0,21,0,29
37,PROXIMITY,6,0,22,0,28
37,DEGREE,5,0,20,0,30
37,PROTECTION,4,0,16,0,34
38,PROXIMITY,6,0,26,0,24
38,DEGREE,6,0,26,0,24
38,PROTECTION,5,0,22,0,28
39,PROXIMITY,7,0,19,0,31
39,DEGREE,7,0,19,0,31
39,PROTECTION,4,0,17,0,33
40,PROXIMITY,6,0,28,0,22
40,DEGREE,6,0,28,0,22
40,PROTECTION,7,0,20,0,30
41,PROXIMITY,4,0,21,0,29
41,DEGREE,4,0,20,0,30
41,PROTECTION,5,0,15,0,35
42,PROXIMITY,4,0,22,0,28
42,DEGREE,4,0,21,0,29
42,PROTECTION,4,0,16,0,34
43,PROXIMITY,10,0,19,0,31
43,DEGREE,8,0,22,0,28
43,PROTECTION,7,0,18,0,32
44,PROXIMITY,7,0,18,0,32
44,DEGREE,6,0,19,0,31
44,PROTECTION,6,0,15,0,35
45,PROXIMITY,6,0,28,0,22
45,DEGREE,6,0,28,0,22
45,PROTECTION,6,0,21,0,29
46,PROXIMITY,5,0,30,0,20
46,DEGREE,5,0,30,0,20
46,PROTECTION,4,0,25,0,25
47,PROXIMITY,5,0,21,0,29
47,DEGREE,5,0,21,0,29
47,PROTECTION,5,0,16,0,34
48,PROXIMITY,8,0,31,0,19
48,DEGREE,6,0,32,0,18
48,PROTECTION,6,0,26,0,24
49,PROXIMITY,5,0,25,0,25
49,DEGREE,5,0,25,0,25
49,PROTECTION,4,0,21,0,29

