OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,5,0,13,0,37
0,DEGREE,4,0,15,0,35
0,PROTECTION,7,0,8,0,42
1,PROXIMITY,7,0,24,0,26
1,DEGREE,6,0,26,0,24
1,PROTECTION,6,0,21,0,29
2,PROXIMITY,6,0,22,0,28
2,DEGREE,6,0,22,0,28
2,PROTECTION,5,0,18,0,32
3,PROXIMITY,6,0,20,0,30
3,DEGREE,6,0,21,0,29
3,PROTECTION,5,0,16,0,34
4,PROXIMITY,6,0,18,0,32
4,DEGREE,5,0,17,0,33
4,PROTECTION,5,0,12,0,38
5,PROXIMITY,6,0,21,0,29
5,DEGREE,6,0,20,0,30
5,PROTECTION,6,0,16,0,34
6,PROXIMITY,6,0,24,0,26
6,DEGREE,6,0,24,0,26
6,PROTECTION,5,0,21,0,29
7,PROXIMITY,4,0,29,0,21
7,DEGREE,4,0,29,0,21
7,PROTECTION,4,0,23,0,27
8,PROXIMITY,5,0,26,0,24
8,DEGREE,5,0,26,0,24
8,PROTECTION,5,0,20,0,30
9,PROXIMITY,6,0,20,0,30
9,DEGREE,6,0,21,0,29
9,PROTECTION,7,0,13,0,37
10,PROXIMITY,5,0,25,0,25
10,DEGREE,5,0,25,0,25
10,PROTECTION,7,0,21,0,29
11,PROXIMITY,7,0,25,0,25
11,DEGREE,7,0,24,0,26
11,PROTECTION,9,0,15,0,35
12,PROXIMITY,4,0,23,0,27
12,DEGREE,4,0,23,0,27
12,PROTECTION,5,0,14,0,36
13,PROXIMITY,6,0,23,0,27
13,DEGREE,6,0,23,0,27
13,PROTECTION,6,0,17,0,33
14,PROXIMITY,6,0,29,0,21
14,DEGREE,5,0,30,0,20
14,PROTECTION,5,0,25,0,25
15,PROXIMITY,5,0,23,0,27
15,DEGREE,5,0,23,0,27
15,PROTECTION,4,0,17,0,33
16,PROXIMITY,5,0,29,0,21
16,DEGREE,5,0,30,0,20
16,PROTECTION,6,0,23,0,27
17,PROXIMITY,6,0,23,0,27
17,DEGREE,6,0,23,0,27
17,PROTECTION,7,0,16,0,34
18,PROXIMITY,5,0,24,0,26
18,DEGREE,5,0,24,0,26
18,PROTECTION,6,0,16,0,34
19,PROXIMITY,6,0,25,0,25
19,DEGREE,6,0,25,0,25
19,PROTECTION,5,0,20,0,30
20,PROXIMITY,5,0,25,0,25
20,DEGREE,5,0,25,0,25
20,PROTECTION,6,0,19,0,31
21,PROXIMITY,6,0,22,0,28
21,DEGREE,7,0,20,0,30
21,PROTECTION,6,0,18,0,32
22,PROXIMITY,6,0,25,0,25
22,DEGREE,6,0,25,0,25
22,PROTECTION,7,0,18,0,32
23,PROXIMITY,5,0,28,0,22
23,DEGREE,5,0,25,0,25
23,PROTECTION,5,0,19,0,31
24,PROXIMITY,4,0,25,0,25
24,DEGREE,4,0,25,0,25
24,PROTECTION,4,0,20,0,30
25,PROXIMITY,6,0,20,0,30
25,DEGREE,6,0,21,0,29
25,PROTECTION,7,0,16,0,34
26,PROXIMITY,6,0,27,0,23
26,DEGREE,5,0,26,0,24
26,PROTECTION,4,0,20,0,30
27,PROXIMITY,7,0,21,0,29
27,DEGREE,6,0,22,0,28
27,PROTECTION,7,0,18,0,32
28,PROXIMITY,4,0,22,0,28
28,DEGREE,4,0,22,0,28
28,PROTECTION,5,0,15,0,35
29,PROXIMITY,6,0,31,0,19
29,DEGREE,5,0,31,0,19
29,PROTECTION,5,0,25,0,25
30,PROXIMITY,4,0,23,0,27
30,DEGREE,4,0,20,0,30
30,PROTECTION,6,0,14,0,36
31,PROXIMITY,7,0,20,0,30
31,DEGREE,7,0,20,0,30
31,PROTECTION,7,0,14,0,36
32,PROXIMITY,5,0,21,0,29
32,DEGREE,5,0,21,0,29
32,PROTECTION,4,0,17,0,33
33,PROXIMITY,6,0,31,0,19
33,DEGREE,6,0,29,0,21
33,PROTECTION,7,0,22,0,28
34,PROXIMITY,6,0,23,0,27
34,DEGREE,5,0,23,0,27
34,PROTECTION,4,0,16,0,34
35,PROXIMITY,6,0,26,0,24
35,DEGREE,6,0,26,0,24
35,PROTECTION,5,0,21,0,29
36,PROXIMITY,6,0,27,0,23
36,DEGREE,6,0,27,0,23
36,PROTECTION,6,0,21,0,29
37,PROXIMITY,5,0,21,0,29
37,DEGREE,5,0,21,0,29
37,PROTECTION,5,0,14,0,36
38,PROXIMITY,4,0,19,0,31
38,DEGREE,4,0,19,0,31
38,PROTECTION,4,0,14,0,36
39,PROXIMITY,4,0,27,0,23
39,DEGREE,4,0,27,0,23
39,PROTECTION,4,0,21,0,29
40,PROXIMITY,6,0,19,0,31
40,DEGREE,6,0,19,0,31
40,PROTECTION,7,0,13,0,37
41,PROXIMITY,6,0,25,0,25
41,DEGREE,6,0,24,0,26
41,PROTECTION,7,0,15,0,35
42,PROXIMITY,6,0,30,0,20
42,DEGREE,6,0,30,0,20
42,PROTECTION,6,0,26,0,24
43,PROXIMITY,4,0,26,0,24
43,DEGREE,4,0,26,0,24
43,PROTECTION,4,0,20,0,30
44,PROXIMITY,4,0,25,0,25
44,DEGREE,4,0,25,0,25
44,PROTECTION,4,0,20,0,30
45,PROXIMITY,5,0,18,0,32
45,DEGREE,5,0,17,0,33
45,PROTECTION,5,0,14,0,36
46,PROXIMITY,5,0,32,0,18
46,DEGREE,5,0,31,0,19
46,PROTECTION,5,0,24,0,26
47,PROXIMITY,6,0,22,0,28
47,DEGREE,7,0,22,0,28
47,PROTECTION,6,0,16,0,34
48,PROXIMITY,6,0,20,0,30
48,DEGREE,5,0,22,0,28
48,PROTECTION,5,0,17,0,33
49,PROXIMITY,6,0,29,0,21
49,DEGREE,6,0,30,0,20
49,PROTECTION,6,0,22,0,28

