P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.05,MIXED,PROXIMITY,402
0.05,MIXED,DEGREE,171
0.05,MIXED,PROTECTION,213
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
0.10,MIXED,PROXIMITY,171
0.10,MIXED,DEGREE,57
0.10,MIXED,PROTECTION,324
