OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,39,0,11
0,DEGREE,6,0,41,0,9
0,PROTECTION,5,0,34,0,16
1,PROXIMITY,6,0,46,0,4
1,DEGREE,5,0,46,0,4
1,PROTECTION,6,0,40,0,10
2,PROXIMITY,6,0,44,0,6
2,DEGREE,6,0,45,0,5
2,PROTECTION,6,0,32,0,18
3,PROXIMITY,5,0,45,0,5
3,DEGREE,5,0,47,0,3
3,PROTECTION,5,0,32,0,18
4,PROXIMITY,5,0,47,0,3
4,DEGREE,5,0,43,0,7
4,PROTECTION,5,0,37,0,13
5,PROXIMITY,4,0,47,0,3
5,DEGREE,4,0,48,0,2
5,PROTECTION,5,0,34,0,16
6,PROXIMITY,6,0,46,0,4
6,DEGREE,6,0,46,0,4
6,PROTECTION,6,0,34,0,16
7,PROXIMITY,6,0,44,0,6
7,DEGREE,6,0,43,0,7
7,PROTECTION,6,0,31,0,19
8,PROXIMITY,6,0,45,0,5
8,DEGREE,6,0,45,0,5
8,PROTECTION,6,0,36,0,14
9,PROXIMITY,6,0,46,0,4
9,DEGREE,5,0,45,0,5
9,PROTECTION,5,0,37,0,13
10,PROXIMITY,5,0,45,0,5
10,DEGREE,5,0,46,0,4
10,PROTECTION,5,0,31,0,19
11,PROXIMITY,6,0,45,0,5
11,DEGREE,6,0,44,0,6
11,PROTECTION,6,0,34,0,16
12,PROXIMITY,5,0,44,0,6
12,DEGREE,5,0,47,0,3
12,PROTECTION,5,0,34,0,16
13,PROXIMITY,6,0,47,0,3
13,DEGREE,6,0,45,0,5
13,PROTECTION,5,0,36,0,14
14,PROXIMITY,4,0,47,0,3
14,DEGREE,4,0,48,0,2
14,PROTECTION,5,0,38,0,12
15,PROXIMITY,6,0,44,0,6
15,DEGREE,6,0,42,0,8
15,PROTECTION,6,0,32,0,18
16,PROXIMITY,6,0,46,0,4
16,DEGREE,6,0,44,0,6
16,PROTECTION,5,0,32,0,18
17,PROXIMITY,5,0,44,0,6
17,DEGREE,5,0,44,0,6
17,PROTECTION,5,0,36,0,14
18,PROXIMITY,6,0,44,0,6
18,DEGREE,4,0,47,0,3
18,PROTECTION,5,0,32,0,18
19,PROXIMITY,6,0,45,0,5
19,DEGREE,6,0,44,0,6
19,PROTECTION,6,0,37,0,13
20,PROXIMITY,5,0,46,0,4
20,DEGREE,5,0,45,0,5
20,PROTECTION,5,0,36,0,14
21,PROXIMITY,6,0,45,0,5
21,DEGREE,6,0,44,0,6
21,PROTECTION,5,0,34,0,16
22,PROXIMITY,5,0,45,0,5
22,DEGREE,5,0,47,0,3
22,PROTECTION,5,0,33,0,17
23,PROXIMITY,5,0,44,0,6
23,DEGREE,5,0,44,0,6
23,PROTECTION,5,0,37,0,13
24,PROXIMITY,6,0,45,0,5
24,DEGREE,6,0,44,0,6
24,PROTECTION,6,0,35,0,15
25,PROXIMITY,5,0,46,0,4
25,DEGREE,5,0,44,0,6
25,PROTECTION,5,0,37,0,13
26,PROXIMITY,6,0,45,0,5
26,DEGREE,5,0,45,0,5
26,PROTECTION,5,0,38,0,12
27,PROXIMITY,4,0,47,0,3
27,DEGREE,4,0,47,0,3
27,PROTECTION,5,0,34,0,16
28,PROXIMITY,5,0,46,0,4
28,DEGREE,5,0,45,0,5
28,PROTECTION,6,0,36,0,14
29,PROXIMITY,5,0,44,0,6
29,DEGREE,5,0,43,0,7
29,PROTECTION,4,0,35,0,15
30,PROXIMITY,6,0,47,0,3
30,DEGREE,6,0,47,0,3
30,PROTECTION,6,0,32,0,18
31,PROXIMITY,5,0,47,0,3
31,DEGREE,5,0,47,0,3
31,PROTECTION,4,0,37,0,13
32,PROXIMITY,6,0,46,0,4
32,DEGREE,6,0,43,0,7
32,PROTECTION,6,0,33,0,17
33,PROXIMITY,5,0,46,0,4
33,DEGREE,5,0,47,0,3
33,PROTECTION,4,0,40,0,10
34,PROXIMITY,6,0,46,0,4
34,DEGREE,6,0,46,0,4
34,PROTECTION,6,0,37,0,13
35,PROXIMITY,6,0,45,0,5
35,DEGREE,6,0,43,0,7
35,PROTECTION,6,0,34,0,16
36,PROXIMITY,6,0,46,0,4
36,DEGREE,6,0,46,0,4
36,PROTECTION,6,0,37,0,13
37,PROXIMITY,4,0,46,0,4
37,DEGREE,4,0,46,0,4
37,PROTECTION,4,0,37,0,13
38,PROXIMITY,6,0,45,0,5
38,DEGREE,6,0,45,0,5
38,PROTECTION,6,0,34,0,16
39,PROXIMITY,6,0,45,0,5
39,DEGREE,5,0,45,0,5
39,PROTECTION,5,0,36,0,14
40,PROXIMITY,5,0,46,0,4
40,DEGREE,4,0,48,0,2
40,PROTECTION,4,0,39,0,11
41,PROXIMITY,6,0,45,0,5
41,DEGREE,6,0,43,0,7
41,PROTECTION,6,0,36,0,14
42,PROXIMITY,6,0,44,0,6
42,DEGREE,5,0,46,0,4
42,PROTECTION,6,0,34,0,16
43,PROXIMITY,4,0,47,0,3
43,DEGREE,4,0,47,0,3
43,PROTECTION,4,0,39,0,11
44,PROXIMITY,6,0,44,0,6
44,DEGREE,6,0,44,0,6
44,PROTECTION,6,0,34,0,16
45,PROXIMITY,6,0,45,0,5
45,DEGREE,6,0,44,0,6
45,PROTECTION,6,0,33,0,17
46,PROXIMITY,6,0,45,0,5
46,DEGREE,6,0,46,0,4
46,PROTECTION,6,0,35,0,15
47,PROXIMITY,4,0,48,0,2
47,DEGREE,4,0,48,0,2
47,PROTECTION,6,0,37,0,13
48,PROXIMITY,6,0,46,0,4
48,DEGREE,5,0,46,0,4
48,PROTECTION,4,0,33,0,17
49,PROXIMITY,5,0,46,0,4
49,DEGREE,5,0,46,0,4
49,PROTECTION,6,0,37,0,13

