P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.05,RANDOM,PROXIMITY,332
0.05,RANDOM,DEGREE,142
0.05,RANDOM,PROTECTION,199
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
0.10,RANDOM,PROXIMITY,75
0.10,RANDOM,DEGREE,10
0.10,RANDOM,PROTECTION,432
