OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,46,0,4
0,DEGREE,6,0,45,0,5
0,PROTECTION,6,0,35,0,15
1,PROXIMITY,5,0,46,0,4
1,DEGREE,5,0,46,0,4
1,PROTECTION,5,0,34,0,16
2,PROXIMITY,6,0,44,0,6
2,DEGREE,6,0,44,0,6
2,PROTECTION,6,0,38,0,12
3,PROXIMITY,5,0,46,0,4
3,DEGREE,5,0,46,0,4
3,PROTECTION,5,0,39,0,11
4,PROXIMITY,6,0,44,0,6
4,DEGREE,6,0,43,0,7
4,PROTECTION,6,0,35,0,15
5,PROXIMITY,5,0,47,0,3
5,DEGREE,5,0,46,0,4
5,PROTECTION,6,0,34,0,16
6,PROXIMITY,6,0,47,0,3
6,DEGREE,6,0,46,0,4
6,PROTECTION,6,0,37,0,13
7,PROXIMITY,6,0,42,0,8
7,DEGREE,6,0,44,0,6
7,PROTECTION,6,0,33,0,17
8,PROXIMITY,5,0,47,0,3
8,DEGREE,5,0,46,0,4
8,PROTECTION,5,0,35,0,15
9,PROXIMITY,6,0,47,0,3
9,DEGREE,5,0,45,0,5
9,PROTECTION,5,0,36,0,14
10,PROXIMITY,6,0,47,0,3
10,DEGREE,5,0,47,0,3
10,PROTECTION,6,0,34,0,16
11,PROXIMITY,6,0,43,0,7
11,DEGREE,5,0,44,0,6
11,PROTECTION,6,0,35,0,15
12,PROXIMITY,6,0,44,0,6
12,DEGREE,6,0,44,0,6
12,PROTECTION,6,0,36,0,14
13,PROXIMITY,6,0,43,0,7
13,DEGREE,6,0,42,0,8
13,PROTECTION,6,0,36,0,14
14,PROXIMITY,6,0,46,0,4
14,DEGREE,6,0,45,0,5
14,PROTECTION,6,0,36,0,14
15,PROXIMITY,6,0,47,0,3
15,DEGREE,5,0,46,0,4
15,PROTECTION,6,0,33,0,17
16,PROXIMITY,6,0,44,0,6
16,DEGREE,6,0,45,0,5
16,PROTECTION,6,0,33,0,17
17,PROXIMITY,6,0,43,0,7
17,DEGREE,6,0,45,0,5
17,PROTECTION,6,0,37,0,13
18,PROXIMITY,6,0,44,0,6
18,DEGREE,6,0,44,0,6
18,PROTECTION,6,0,37,0,13
19,PROXIMITY,6,0,45,0,5
19,DEGREE,6,0,46,0,4
19,PROTECTION,5,0,37,0,13
20,PROXIMITY,5,0,45,0,5
20,DEGREE,5,0,45,0,5
20,PROTECTION,5,0,35,0,15
21,PROXIMITY,6,0,47,0,3
21,DEGREE,6,0,47,0,3
21,PROTECTION,6,0,34,0,16
22,PROXIMITY,6,0,45,0,5
22,DEGREE,6,0,42,0,8
22,PROTECTION,6,0,32,0,18
23,PROXIMITY,6,0,45,0,5
23,DEGREE,6,0,45,0,5
23,PROTECTION,6,0,39,0,11
24,PROXIMITY,5,0,45,0,5
24,DEGREE,5,0,45,0,5
24,PROTECTION,4,0,35,0,15
25,PROXIMITY,6,0,45,0,5
25,DEGREE,6,0,42,0,8
