OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,3,0,1,0,19
0,DEGREE,3,0,1,0,19
0,PROTECTION,3,0,1,0,19
1,PROXIMITY,3,0,1,0,19
1,DEGREE,3,0,3,0,17
1,PROTECTION,3,0,1,0,19
2,PROXIMITY,5,0,1,0,19
2,DEGREE,5,0,1,0,19
2,PROTECTION,3,0,2,0,18
3,PROXIMITY,3,0,1,0,19
3,DEGREE,3,0,1,0,19
3,PROTECTION,2,0,2,0,18
4,PROXIMITY,7,0,1,0,19
4,DEGREE,5,0,2,0,18
4,PROTECTION,7,0,1,0,19
5,PROXIMITY,3,0,4,0,16
5,DEGREE,3,0,4,0,16
5,PROTECTION,3,0,2,0,18
6,PROXIMITY,3,0,1,0,19
6,DEGREE,3,0,1,0,19
6,PROTECTION,3,0,1,0,19
7,PROXIMITY,5,0,1,0,19
7,DEGREE,5,0,1,0,19
7,PROTECTION,5,0,1,0,19
8,PROXIMITY,7,0,2,0,18
8,DEGREE,5,0,2,0,18
8,PROTECTION,4,0,4,0,16
9,PROXIMITY,3,0,1,0,19
9,DEGREE,3,0,1,0,19
9,PROTECTION,3,0,1,0,19
10,PROXIMITY,7,0,1,0,19
10,DEGREE,5,0,4,0,16
10,PROTECTION,5,0,2,0,18
11,PROXIMITY,3,0,1,0,19
11,DEGREE,3,0,1,0,19
11,PROTECTION,3,0,1,0,19
12,PROXIMITY,3,0,1,0,19
12,DEGREE,3,0,2,0,18
12,PROTECTION,3,0,2,0,18
13,PROXIMITY,7,0,1,0,19
13,DEGREE,7,0,2,0,18
13,PROTECTION,7,0,1,0,19
14,PROXIMITY,3,0,1,0,19
14,DEGREE,3,0,1,0,19
14,PROTECTION,2,0,2,0,18
15,PROXIMITY,5,0,1,0,19
15,DEGREE,5,0,1,0,19
15,PROTECTION,5,0,1,0,19
16,PROXIMITY,5,0,2,0,18
16,DEGREE,5,0,2,0,18
16,PROTECTION,5,0,2,0,18
17,PROXIMITY,7,0,1,0,19
17,DEGREE,5,0,4,0,16
17,PROTECTION,5,0,2,0,18
18,PROXIMITY,5,0,4,0,16
18,DEGREE,5,0,4,0,16
18,PROTECTION,3,0,3,0,17
19,PROXIMITY,9,0,1,0,19
19,DEGREE,9,0,2,0,18
19,PROTECTION,7,0,3,0,17

