OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,1,0,19
0,DEGREE,9,0,1,0,19
0,PROTECTION,17,0,1,0,19
1,PROXIMITY,7,0,1,0,19
1,DEGREE,7,0,3,0,17
1,PROTECTION,13,0,1,0,19
2,PROXIMITY,9,0,1,0,19
2,DEGREE,9,0,2,0,18
2,PROTECTION,15,0,1,0,19
3,PROXIMITY,9,0,1,0,19
3,DEGREE,9,0,2,0,18
3,PROTECTION,15,0,1,0,19
4,PROXIMITY,11,0,1,0,19
4,DEGREE,11,0,1,0,19
4,PROTECTION,17,0,1,0,19
5,PROXIMITY,9,0,1,0,19
5,DEGREE,9,0,2,0,18
5,PROTECTION,15,0,1,0,19
6,PROXIMITY,9,0,1,0,19
6,DEGREE,9,0,2,0,18
6,PROTECTION,15,0,1,0,19
7,PROXIMITY,9,0,1,0,19
7,DEGREE,9,0,1,0,19
7,PROTECTION,17,0,1,0,19
8,PROXIMITY,9,0,1,0,19
8,DEGREE,9,0,2,0,18
8,PROTECTION,15,0,1,0,19
9,PROXIMITY,7,0,1,0,19
9,DEGREE,7,0,3,0,17
9,PROTECTION,13,0,1,0,19
10,PROXIMITY,19,0,1,0,19
10,DEGREE,19,0,1,0,19
10,PROTECTION,31,0,1,0,19
11,PROXIMITY,17,0,1,0,19
11,DEGREE,13,0,6,0,14
11,PROTECTION,29,0,1,0,19
12,PROXIMITY,19,0,1,0,19
12,DEGREE,11,0,10,0,10
12,PROTECTION,31,0,1,0,19
13,PROXIMITY,19,0,1,0,19
13,DEGREE,11,0,10,0,10
13,PROTECTION,31,0,1,0,19
14,PROXIMITY,15,0,1,0,19
14,DEGREE,7,0,14,0,6
14,PROTECTION,25,0,1,0,19
15,PROXIMITY,21,0,1,0,19
15,DEGREE,13,0,10,0,10
15,PROTECTION,33,0,1,0,19
16,PROXIMITY,21,0,1,0,19
16,DEGREE,19,0,5,0,15
16,PROTECTION,31,0,1,0,19
17,PROXIMITY,19,0,1,0,19
17,DEGREE,9,0,13,0,7
17,PROTECTION,31,0,1,0,19
18,PROXIMITY,19,0,1,0,19
18,DEGREE,9,0,13,0,7
18,PROTECTION,29,0,1,0,19
19,PROXIMITY,23,0,1,0,19
19,DEGREE,11,0,13,0,7
19,PROTECTION,29,0,1,0,19

