OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,8,0,33,0,17
1,PROTECTION,8,0,35,0,15
2,PROTECTION,6,0,38,0,12
3,PROTECTION,6,0,36,0,14
4,PROTECTION,6,0,37,0,13
5,PROTECTION,6,0,34,0,16
6,PROTECTION,7,0,32,0,18
7,PROTECTION,7,0,34,0,16
8,PROTECTION,6,0,36,0,14
9,PROTECTION,6,0,36,0,14
10,PROTECTION,6,0,37,0,13
11,PROTECTION,9,0,30,0,20
12,PROTECTION,6,0,35,0,15
13,PROTECTION,6,0,32,0,18
14,PROTECTION,9,0,29,0,21
15,PROTECTION,8,0,35,0,15
16,PROTECTION,7,0,33,0,17
17,PROTECTION,8,0,28,0,22
18,PROTECTION,9,0,30,0,20
19,PROTECTION,8,0,34,0,16
20,PROTECTION,7,0,30,0,20
21,PROTECTION,8,0,31,0,19
22,PROXIMITY,45,0,1,0,49
23,PROTECTION,9,0,31,0,19
24,PROTECTION,6,0,36,0,14
25,PROTECTION,8,0,33,0,17
26,PROXIMITY,43,0,1,0,49
27,PROTECTION,13,0,29,0,21
28,PROTECTION,8,0,34,0,16
29,PROTECTION,6,0,36,0,14
30,PROTECTION,8,0,36,0,14
31,PROTECTION,8,0,32,0,18
32,PROTECTION,8,0,34,0,16
33,PROTECTION,8,0,35,0,15
34,PROTECTION,8,0,32,0,18
35,PROTECTION,13,0,30,0,20
36,PROTECTION,8,0,32,0,18
37,PROTECTION,11,0,28,0,22
38,PROTECTION,10,0,31,0,19
39,PROTECTION,11,0,33,0,17
40,PROTECTION,8,0,30,0,20
41,PROTECTION,9,0,29,0,21
42,PROTECTION,8,0,35,0,15
43,PROTECTION,11,0,27,0,23
44,PROTECTION,8,0,32,0,18
45,PROTECTION,8,0,33,0,17
46,PROXIMITY,51,0,1,0,49
47,PROTECTION,8,0,31,0,19
48,PROXIMITY,39,0,1,0,49
49,PROTECTION,8,0,33,0,17

