OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,23,0,27
0,DEGREE,9,0,21,0,29
0,PROTECTION,9,0,19,0,31
1,PROXIMITY,9,0,18,0,32
1,DEGREE,9,0,19,0,31
1,PROTECTION,9,0,16,0,34
2,PROXIMITY,7,0,25,0,25
2,DEGREE,7,0,24,0,26
2,PROTECTION,7,0,22,0,28
3,PROXIMITY,8,0,20,0,30
3,DEGREE,9,0,20,0,30
3,PROTECTION,9,0,18,0,32
4,PROXIMITY,7,0,16,0,34
4,DEGREE,15,0,12,0,38
4,PROTECTION,7,0,13,0,37
5,PROXIMITY,7,0,18,0,32
5,DEGREE,9,0,19,0,31
5,PROTECTION,5,0,19,0,31
6,PROXIMITY,7,0,26,0,24
6,DEGREE,9,0,25,0,25
6,PROTECTION,7,0,23,0,27
7,PROXIMITY,8,0,17,0,33
7,DEGREE,11,0,14,0,36
7,PROTECTION,7,0,14,0,36
8,PROXIMITY,9,0,19,0,31
8,DEGREE,11,0,16,0,34
8,PROTECTION,9,0,17,0,33
9,PROXIMITY,11,0,22,0,28
9,DEGREE,9,0,22,0,28
9,PROTECTION,9,0,23,0,27
10,PROXIMITY,13,0,10,0,40
10,DEGREE,23,0,10,0,40
10,PROTECTION,7,0,12,0,38
11,PROXIMITY,9,0,18,0,32
11,DEGREE,9,0,16,0,34
11,PROTECTION,7,0,15,0,35
12,PROXIMITY,8,0,25,0,25
12,DEGREE,8,0,26,0,24
12,PROTECTION,6,0,22,0,28
13,PROXIMITY,11,0,14,0,36
13,DEGREE,9,0,17,0,33
13,PROTECTION,9,0,12,0,38
14,PROXIMITY,21,0,3,0,47
14,DEGREE,13,0,10,0,40
14,PROTECTION,9,0,11,0,39
15,PROXIMITY,17,0,16,0,34
15,DEGREE,13,0,20,0,30
15,PROTECTION,13,0,16,0,34
16,PROXIMITY,8,0,16,0,34
16,DEGREE,15,0,13,0,37
16,PROTECTION,7,0,14,0,36
17,PROXIMITY,11,0,8,0,42
17,DEGREE,11,0,10,0,40
17,PROTECTION,9,0,7,0,43
18,PROXIMITY,19,0,14,0,36
18,DEGREE,17,0,15,0,35
18,PROTECTION,11,0,16,0,34
19,PROXIMITY,11,0,17,0,33
19,DEGREE,9,0,21,0,29
19,PROTECTION,7,0,16,0,34
20,PROXIMITY,9,0,15,0,35
20,DEGREE,15,0,14,0,36
20,PROTECTION,9,0,13,0,37
21,PROXIMITY,17,0,2,0,48
21,DEGREE,15,0,4,0,46
21,PROTECTION,13,0,5,0,45
22,PROXIMITY,9,0,18,0,32
22,DEGREE,9,0,18,0,32
22,PROTECTION,9,0,16,0,34
23,PROXIMITY,13,0,4,0,46
23,DEGREE,11,0,7,0,43
23,PROTECTION,11,0,5,0,45
24,PROXIMITY,11,0,9,0,41
24,DEGREE,11,0,12,0,38
24,PROTECTION,9,0,10,0,40
25,PROXIMITY,11,0,10,0,40
25,DEGREE,13,0,8,0,42
25,PROTECTION,9,0,8,0,42
26,PROXIMITY,19,0,4,0,46
26,DEGREE,21,0,3,0,47
26,PROTECTION,8,0,9,0,41
27,PROXIMITY,21,0,1,0,49
27,DEGREE,13,0,10,0,40
27,PROTECTION,19,0,2,0,48
28,PROXIMITY,13,0,12,0,38
28,DEGREE,15,0,9,0,41
28,PROTECTION,15,0,7,0,43
29,PROXIMITY,15,0,8,0,42
29,DEGREE,11,0,13,0,37
29,PROTECTION,7,0,12,0,38
30,PROXIMITY,25,0,2,0,48
30,DEGREE,23,0,5,0,45
30,PROTECTION,11,0,8,0,42
31,PROXIMITY,21,0,5,0,45
31,DEGREE,11,0,9,0,41
31,PROTECTION,7,0,10,0,40
32,PROXIMITY,31,0,6,0,44
32,DEGREE,11,0,17,0,33
32,PROTECTION,13,0,13,0,37
33,PROXIMITY,11,0,15,0,35
33,DEGREE,17,0,12,0,38
33,PROTECTION,9,0,15,0,35
34,PROXIMITY,19,0,2,0,48
34,DEGREE,17,0,3,0,47
34,PROTECTION,13,0,6,0,44
35,PROXIMITY,13,0,9,0,41
35,DEGREE,11,0,9,0,41
35,PROTECTION,11,0,8,0,42
36,PROXIMITY,21,0,2,0,48
36,DEGREE,25,0,2,0,48
36,PROTECTION,9,0,8,0,42
37,PROXIMITY,23,0,3,0,47
37,DEGREE,13,0,11,0,39
37,PROTECTION,9,0,11,0,39
38,PROXIMITY,27,0,1,0,49
38,DEGREE,19,0,9,0,41
38,PROTECTION,15,0,5,0,45
39,PROXIMITY,13,0,18,0,32
39,DEGREE,15,0,16,0,34
39,PROTECTION,11,0,16,0,34
40,PROXIMITY,11,0,8,0,42
40,DEGREE,9,0,10,0,40
40,PROTECTION,9,0,7,0,43
41,PROXIMITY,25,0,2,0,48
41,DEGREE,11,0,16,0,34
41,PROTECTION,11,0,10,0,40
42,PROXIMITY,27,0,1,0,49
42,DEGREE,17,0,10,0,40
42,PROTECTION,11,0,10,0,40
43,PROXIMITY,13,0,15,0,35
43,DEGREE,17,0,15,0,35
43,PROTECTION,11,0,15,0,35
44,PROXIMITY,15,0,6,0,44
44,DEGREE,13,0,6,0,44
44,PROTECTION,9,0,6,0,44
45,PROXIMITY,15,0,11,0,39
45,DEGREE,13,0,13,0,37
45,PROTECTION,11,0,11,0,39
46,PROXIMITY,23,0,1,0,49
46,DEGREE,25,0,1,0,49
46,PROTECTION,15,0,5,0,45
47,PROXIMITY,27,0,2,0,48
47,DEGREE,15,0,11,0,39
47,PROTECTION,7,0,13,0,37
48,PROXIMITY,25,0,1,0,49
48,DEGREE,15,0,6,0,44
48,PROTECTION,11,0,8,0,42
49,PROXIMITY,11,0,13,0,37
49,DEGREE,11,0,16,0,34
49,PROTECTION,9,0,13,0,37

