MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
1,MIXED,PROXIMITY,415
1,MIXED,DEGREE,92
1,MIXED,PROTECTION,108
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
2,MIXED,PROXIMITY,155
2,MIXED,DEGREE,8
2,MIXED,PROTECTION,349
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
3,MIXED,PROXIMITY,30
3,MIXED,DEGREE,0
3,MIXED,PROTECTION,471
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
4,MIXED,PROXIMITY,3
4,MIXED,DEGREE,0
4,MIXED,PROTECTION,497
