MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
1,RANDOM,PROXIMITY,415
1,RANDOM,DEGREE,92
1,RANDOM,PROTECTION,108
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
2,RANDOM,PROXIMITY,155
2,RANDOM,DEGREE,8
2,RANDOM,PROTECTION,349
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
3,RANDOM,PROXIMITY,30
3,RANDOM,DEGREE,0
3,RANDOM,PROTECTION,471
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
4,RANDOM,PROXIMITY,3
4,RANDOM,DEGREE,0
4,RANDOM,PROTECTION,497
