OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,7,0,18,0,32
1,PROXIMITY,19,0,12,0,38
2,PROTECTION,7,0,17,0,33
3,PROXIMITY,15,0,17,0,33
4,PROTECTION,11,0,17,0,33
5,PROTECTION,11,0,14,0,36
6,PROTECTION,9,0,17,0,33
7,PROXIMITY,15,0,18,0,32
8,PROTECTION,11,0,16,0,34
9,PROTECTION,9,0,19,0,31
10,PROXIMITY,15,0,19,0,31
11,PROXIMITY,15,0,15,0,35
12,DEGREE,17,0,14,0,36
13,PROTECTION,7,0,18,0,32
14,PROTECTION,11,0,15,0,35
15,PROXIMITY,17,0,2,0,48
16,PROXIMITY,23,0,2,0,48
16,DEGREE,23,0,2,0,48
17,PROXIMITY,21,0,2,0,48
18,DEGREE,21,0,3,0,47
19,PROXIMITY,23,0,4,0,46
20,PROXIMITY,15,0,2,0,48
21,PROXIMITY,21,0,1,0,49
21,DEGREE,21,0,1,0,49
22,PROXIMITY,21,0,1,0,49
23,PROTECTION,9,0,8,0,42
24,PROXIMITY,19,0,2,0,48
25,PROTECTION,21,0,1,0,49
26,PROXIMITY,27,0,1,0,49
27,PROXIMITY,21,0,5,0,45
27,DEGREE,21,0,5,0,45
28,PROTECTION,13,0,1,0,49
28,RANDOM,13,0,1,0,49
29,PROXIMITY,15,0,1,0,49
30,PROXIMITY,17,0,1,0,49
31,PROXIMITY,25,0,1,0,49
32,PROXIMITY,27,0,1,0,49
33,PROXIMITY,15,0,1,0,49
34,PROXIMITY,27,0,1,0,49
35,PROTECTION,21,0,1,0,49
36,PROXIMITY,15,0,1,0,49
37,PROXIMITY,25,0,2,0,48
38,PROXIMITY,25,0,1,0,49
38,PROTECTION,25,0,1,0,49
39,PROXIMITY,25,0,1,0,49
40,PROTECTION,15,0,1,0,49
40,RANDOM,15,0,1,0,49
41,PROTECTION,11,0,2,0,48
42,RANDOM,13,0,2,0,48
43,PROXIMITY,19,0,2,0,48
44,DEGREE,17,0,2,0,48
45,PROXIMITY,33,0,1,0,49
46,PROXIMITY,15,0,1,0,49
47,PROXIMITY,17,0,1,0,49
48,PROXIMITY,27,0,1,0,49
49,PROXIMITY,19,0,1,0,49
49,DEGREE,19,0,1,0,49

