OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,DEGREE,15,0,8,0,17
1,PROXIMITY,15,0,4,0,21
2,PROTECTION,11,0,9,0,16
3,PROTECTION,9,0,14,0,11
4,DEGREE,15,0,7,0,18
5,PROXIMITY,13,0,8,0,17
5,DEGREE,13,0,8,0,17
6,DEGREE,19,0,8,0,17
7,PROTECTION,8,0,11,0,14
8,PROXIMITY,17,0,6,0,19
8,DEGREE,17,0,6,0,19
9,PROTECTION,6,0,14,0,11
10,PROXIMITY,23,0,1,0,24
10,DEGREE,23,0,1,0,24
11,PROXIMITY,19,0,1,0,24
11,DEGREE,19,0,1,0,24
12,PROXIMITY,21,0,1,0,24
13,PROXIMITY,25,0,1,0,24
14,PROXIMITY,19,0,4,0,21
15,PROXIMITY,23,0,2,0,23
16,PROXIMITY,21,0,1,0,24
17,DEGREE,23,0,4,0,21
18,PROXIMITY,25,0,1,0,24
19,RANDOM,19,0,1,0,24
20,PROXIMITY,35,0,1,0,24
21,PROTECTION,27,0,1,0,24
22,PROXIMITY,23,0,1,0,24
23,DEGREE,19,0,7,0,18
24,PROTECTION,21,0,1,0,24
24,RANDOM,21,0,1,0,24

