PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
RANDOM,PROXIMITY,112
RANDOM,DEGREE,48
RANDOM,PROTECTION,91
RANDOM,RANDOM,10
MIXED,PROXIMITY,135
MIXED,DEGREE,53
MIXED,PROTECTION,85
MIXED,RANDOM,25
DETERMINISTIC,PROXIMITY,105
DETERMINISTIC,DEGREE,35
DETERMINISTIC,PROTECTION,160
DETERMINISTIC,RANDOM,22
