OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,9,0,36,0,14
0,DEGREE,9,0,36,0,14
0,PROTECTION,7,0,32,0,18
1,PROXIMITY,11,0,35,0,15
1,DEGREE,9,0,40,0,10
1,PROTECTION,7,0,36,0,14
2,PROXIMITY,12,0,32,0,18
2,DEGREE,10,0,37,0,13
2,PROTECTION,7,0,32,0,18
3,PROXIMITY,9,0,40,0,10
3,DEGREE,9,0,38,0,12
3,PROTECTION,6,0,36,0,14
4,PROXIMITY,9,0,38,0,12
4,DEGREE,9,0,38,0,12
4,PROTECTION,8,0,35,0,15
5,PROXIMITY,11,0,31,0,19
5,DEGREE,13,0,31,0,19
5,PROTECTION,11,0,26,0,24
6,PROXIMITY,11,0,32,0,18
6,DEGREE,11,0,33,0,17
6,PROTECTION,9,0,31,0,19
7,PROXIMITY,12,0,33,0,17
7,DEGREE,9,0,35,0,15
7,PROTECTION,9,0,31,0,19
8,PROXIMITY,9,0,40,0,10
8,DEGREE,9,0,38,0,12
8,PROTECTION,8,0,36,0,14
9,PROXIMITY,9,0,33,0,17
9,DEGREE,9,0,35,0,15
9,PROTECTION,7,0,31,0,19
10,PROXIMITY,17,0,30,0,20
10,DEGREE,13,0,31,0,19
10,PROTECTION,8,0,33,0,17
11,PROXIMITY,9,0,35,0,15
11,DEGREE,9,0,35,0,15
11,PROTECTION,9,0,28,0,22
12,PROXIMITY,15,0,27,0,23
12,DEGREE,11,0,32,0,18
12,PROTECTION,9,0,27,0,23
13,PROXIMITY,11,0,39,0,11
13,DEGREE,9,0,37,0,13
13,PROTECTION,8,0,31,0,19
14,PROXIMITY,10,0,32,0,18
14,DEGREE,11,0,33,0,17
14,PROTECTION,9,0,28,0,22
15,PROXIMITY,10,0,35,0,15
15,DEGREE,11,0,36,0,14
15,PROTECTION,9,0,28,0,22
16,PROXIMITY,11,0,32,0,18
16,DEGREE,11,0,37,0,13
16,PROTECTION,9,0,29,0,21
17,PROXIMITY,15,0,30,0,20
17,DEGREE,11,0,34,0,16
17,PROTECTION,10,0,31,0,19
18,PROXIMITY,37,0,14,0,36
18,DEGREE,11,0,37,0,13
18,PROTECTION,11,0,23,0,27
19,PROXIMITY,17,0,31,0,19
19,DEGREE,11,0,40,0,10
19,PROTECTION,9,0,34,0,16
20,PROXIMITY,13,0,38,0,12
20,DEGREE,15,0,35,0,15
20,PROTECTION,10,0,31,0,19
21,PROXIMITY,11,0,34,0,16
21,DEGREE,11,0,35,0,15
21,PROTECTION,9,0,32,0,18
22,PROXIMITY,14,0,28,0,22
22,DEGREE,11,0,32,0,18
22,PROTECTION,11,0,25,0,25
23,PROXIMITY,13,0,34,0,16
23,DEGREE,9,0,35,0,15
23,PROTECTION,8,0,32,0,18
24,PROXIMITY,55,0,1,0,49
24,DEGREE,15,0,26,0,24
24,PROTECTION,45,0,1,0,49
25,PROXIMITY,15,0,29,0,21
25,DEGREE,11,0,34,0,16
25,PROTECTION,10,0,29,0,21
26,PROXIMITY,15,0,29,0,21
26,DEGREE,13,0,34,0,16
26,PROTECTION,9,0,27,0,23
27,PROXIMITY,11,0,35,0,15
27,DEGREE,11,0,34,0,16
27,PROTECTION,9,0,29,0,21
28,PROXIMITY,9,0,36,0,14
28,DEGREE,11,0,33,0,17
28,PROTECTION,9,0,30,0,20
29,PROXIMITY,11,0,32,0,18
29,DEGREE,13,0,32,0,18
29,PROTECTION,8,0,30,0,20
30,PROXIMITY,15,0,30,0,20
30,DEGREE,11,0,33,0,17
30,PROTECTION,10,0,27,0,23
31,PROXIMITY,61,0,1,0,49
31,DEGREE,11,0,34,0,16
31,PROTECTION,11,0,29,0,21
32,PROXIMITY,12,0,35,0,15
32,DEGREE,9,0,34,0,16
32,PROTECTION,8,0,30,0,20
33,PROXIMITY,61,0,1,0,49
33,DEGREE,17,0,37,0,13
33,PROTECTION,9,0,31,0,19
34,PROXIMITY,10,0,34,0,16
34,DEGREE,11,0,37,0,13
34,PROTECTION,9,0,32,0,18
35,PROXIMITY,13,0,33,0,17
35,DEGREE,10,0,38,0,12
35,PROTECTION,9,0,33,0,17
36,PROXIMITY,12,0,34,0,16
36,DEGREE,11,0,36,0,14
36,PROTECTION,10,0,29,0,21
37,PROXIMITY,15,0,32,0,18
37,DEGREE,11,0,34,0,16
37,PROTECTION,11,0,26,0,24
38,PROXIMITY,11,0,34,0,16
38,DEGREE,11,0,35,0,15
38,PROTECTION,11,0,27,0,23
39,PROXIMITY,14,0,33,0,17
39,DEGREE,12,0,32,0,18
39,PROTECTION,12,0,27,0,23
40,PROXIMITY,69,0,1,0,49
40,DEGREE,13,0,33,0,17
40,PROTECTION,16,0,23,0,27
41,PROXIMITY,19,0,28,0,22
41,DEGREE,11,0,35,0,15
41,PROTECTION,9,0,30,0,20
42,PROXIMITY,73,0,1,0,49
42,DEGREE,13,0,36,0,14
42,PROTECTION,11,0,31,0,19
43,PROXIMITY,13,0,32,0,18
43,DEGREE,10,0,37,0,13
43,PROTECTION,13,0,24,0,26
44,PROXIMITY,13,0,31,0,19
44,DEGREE,11,0,35,0,15
44,PROTECTION,10,0,32,0,18
45,PROXIMITY,12,0,33,0,17
45,DEGREE,13,0,33,0,17
45,PROTECTION,11,0,28,0,22
46,PROXIMITY,55,0,1,0,49
46,DEGREE,11,0,38,0,12
46,PROTECTION,10,0,28,0,22
47,PROXIMITY,11,0,40,0,10
47,DEGREE,9,0,42,0,8
47,PROTECTION,8,0,35,0,15
48,PROXIMITY,11,0,35,0,15
48,DEGREE,9,0,39,0,11
48,PROTECTION,12,0,31,0,19
49,PROXIMITY,87,0,1,0,49
49,DEGREE,9,0,36,0,14
49,PROTECTION,9,0,29,0,21

