PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
RANDOM,PROXIMITY,79
RANDOM,DEGREE,7
RANDOM,PROTECTION,414
MIXED,PROXIMITY,228
MIXED,DEGREE,77
MIXED,PROTECTION,208
DETERMINISTIC,PROXIMITY,265
DETERMINISTIC,DEGREE,16
DETERMINISTIC,PROTECTION,273
