MIN DEGREE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
1,DETERMINISTIC,PROXIMITY,16
1,DETERMINISTIC,DEGREE,3
1,DETERMINISTIC,PROTECTION,481
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
2,DETERMINISTIC,PROTECTION,456
2,DETERMINISTIC,PROXIMITY,44
2,DETERMINISTIC,DEGREE,4
