OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,17,0,1,0,19
0,DEGREE,17,0,1,0,19
0,PROTECTION,9,0,7,0,13
1,PROXIMITY,21,0,1,0,19
1,DEGREE,19,0,5,0,15
1,PROTECTION,15,0,5,0,15
2,PROXIMITY,21,0,1,0,19
2,DEGREE,15,0,6,0,14
2,PROTECTION,15,0,5,0,15
3,PROXIMITY,15,0,1,0,19
3,DEGREE,15,0,2,0,18
3,PROTECTION,15,0,1,0,19
4,PROXIMITY,15,0,1,0,19
4,DEGREE,15,0,2,0,18
4,PROTECTION,11,0,4,0,16
5,PROXIMITY,15,0,4,0,16
5,DEGREE,15,0,6,0,14
5,PROTECTION,13,0,6,0,14
6,PROXIMITY,21,0,1,0,19
6,DEGREE,17,0,5,0,15
6,PROTECTION,15,0,5,0,15
7,PROXIMITY,23,0,1,0,19
7,DEGREE,23,0,1,0,19
7,PROTECTION,21,0,3,0,17
8,PROXIMITY,19,0,1,0,19
8,DEGREE,17,0,3,0,17
8,PROTECTION,11,0,7,0,13
9,PROXIMITY,17,0,1,0,19
9,DEGREE,17,0,1,0,19
9,PROTECTION,15,0,2,0,18
10,PROXIMITY,21,0,1,0,19
10,DEGREE,19,0,4,0,16
10,PROTECTION,21,0,1,0,19
11,PROXIMITY,19,0,1,0,19
11,DEGREE,19,0,1,0,19
11,PROTECTION,15,0,4,0,16
12,PROXIMITY,15,0,1,0,19
12,DEGREE,13,0,3,0,17
12,PROTECTION,15,0,1,0,19
13,PROXIMITY,19,0,3,0,17
13,DEGREE,15,0,5,0,15
13,PROTECTION,13,0,8,0,12
14,PROXIMITY,19,0,1,0,19
14,DEGREE,17,0,3,0,17
14,PROTECTION,15,0,5,0,15
15,PROXIMITY,19,0,1,0,19
15,DEGREE,19,0,3,0,17
15,PROTECTION,17,0,4,0,16
16,PROXIMITY,19,0,1,0,19
16,DEGREE,19,0,3,0,17
16,PROTECTION,17,0,5,0,15
17,PROXIMITY,19,0,2,0,18
17,DEGREE,17,0,4,0,16
17,PROTECTION,15,0,5,0,15
18,PROXIMITY,21,0,2,0,18
18,DEGREE,17,0,7,0,13
18,PROTECTION,21,0,4,0,16
19,PROXIMITY,17,0,2,0,18
19,DEGREE,17,0,3,0,17
19,PROTECTION,11,0,6,0,14

