OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,7,0,15,0,35
1,PROTECTION,7,0,13,0,37
2,PROTECTION,7,0,13,0,37
3,PROTECTION,11,0,16,0,34
4,PROTECTION,9,0,14,0,36
5,PROXIMITY,11,0,10,0,40
5,PROTECTION,11,0,10,0,40
6,PROTECTION,9,0,10,0,40
7,PROTECTION,5,0,12,0,38
8,PROTECTION,9,0,9,0,41
9,PROTECTION,8,0,15,0,35
10,PROTECTION,11,0,12,0,38
11,PROXIMITY,13,0,3,0,47
12,PROTECTION,11,0,9,0,41
13,PROTECTION,11,0,10,0,40
14,PROXIMITY,9,0,6,0,44
15,PROXIMITY,13,0,16,0,34
16,PROTECTION,7,0,10,0,40
17,PROTECTION,17,0,8,0,42
18,PROTECTION,9,0,12,0,38
19,PROTECTION,13,0,4,0,46
20,PROTECTION,13,0,7,0,43
21,PROTECTION,11,0,7,0,43
22,PROTECTION,7,0,13,0,37
23,PROTECTION,9,0,8,0,42
24,PROXIMITY,21,0,1,0,49
25,PROXIMITY,0,0,1,0,49
25,DEGREE,0,0,1,0,49
25,PROTECTION,0,0,1,0,49
26,DEGREE,13,0,3,0,47
27,PROXIMITY,11,0,6,0,44
28,DEGREE,13,0,9,0,41
29,PROTECTION,9,0,17,0,33
30,PROTECTION,9,0,11,0,39
31,PROXIMITY,15,0,8,0,42
32,PROXIMITY,21,0,3,0,47
33,PROXIMITY,19,0,1,0,49
34,PROTECTION,7,0,13,0,37
35,PROTECTION,7,0,16,0,34
36,PROTECTION,7,0,14,0,36
37,PROTECTION,15,0,9,0,41
38,PROTECTION,7,0,9,0,41
39,PROTECTION,9,0,14,0,36
40,PROTECTION,9,0,13,0,37
41,PROTECTION,9,0,9,0,41
42,DEGREE,7,0,10,0,40
43,PROXIMITY,19,0,1,0,49
44,PROXIMITY,15,0,8,0,42
45,PROTECTION,9,0,12,0,38
46,PROTECTION,9,0,12,0,38
47,PROTECTION,9,0,15,0,35
48,PROXIMITY,15,0,6,0,44
49,PROXIMITY,17,0,1,0,49

