OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,6,0,14,0,36
0,DEGREE,6,0,14,0,36
0,PROTECTION,4,0,11,0,39
1,PROXIMITY,9,0,22,0,28
1,DEGREE,9,0,22,0,28
1,PROTECTION,6,0,18,0,32
2,PROXIMITY,17,0,1,0,49
2,DEGREE,17,0,1,0,49
2,PROTECTION,15,0,4,0,46
3,PROXIMITY,7,0,24,0,26
3,DEGREE,7,0,22,0,28
3,PROTECTION,7,0,16,0,34
4,PROXIMITY,7,0,23,0,27
4,DEGREE,7,0,25,0,25
4,PROTECTION,7,0,19,0,31
5,PROXIMITY,9,0,19,0,31
5,DEGREE,9,0,18,0,32
5,PROTECTION,7,0,14,0,36
6,PROXIMITY,7,0,21,0,29
6,DEGREE,7,0,22,0,28
6,PROTECTION,9,0,14,0,36
7,PROXIMITY,9,0,16,0,34
7,DEGREE,9,0,14,0,36
7,PROTECTION,7,0,12,0,38
8,PROXIMITY,19,0,1,0,49
8,DEGREE,9,0,13,0,37
8,PROTECTION,13,0,5,0,45
9,PROXIMITY,15,0,1,0,49
9,DEGREE,11,0,6,0,44
9,PROTECTION,13,0,3,0,47
10,PROXIMITY,7,0,13,0,37
10,DEGREE,7,0,13,0,37
10,PROTECTION,7,0,10,0,40
11,PROXIMITY,9,0,25,0,25
11,DEGREE,11,0,24,0,26
11,PROTECTION,8,0,21,0,29
12,PROXIMITY,11,0,17,0,33
12,DEGREE,11,0,19,0,31
12,PROTECTION,9,0,13,0,37
13,PROXIMITY,9,0,20,0,30
13,DEGREE,11,0,18,0,32
13,PROTECTION,7,0,17,0,33
14,PROXIMITY,23,0,1,0,49
14,DEGREE,9,0,18,0,32
14,PROTECTION,11,0,10,0,40
15,PROXIMITY,11,0,18,0,32
15,DEGREE,9,0,23,0,27
15,PROTECTION,13,0,13,0,37
16,PROXIMITY,9,0,13,0,37
16,DEGREE,9,0,14,0,36
16,PROTECTION,9,0,8,0,42
17,PROXIMITY,17,0,3,0,47
17,DEGREE,15,0,5,0,45
17,PROTECTION,11,0,7,0,43
