OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,39,0,1,0,49
0,DEGREE,9,0,39,0,11
0,PROTECTION,10,0,26,0,24
1,PROXIMITY,6,0,44,0,6
1,DEGREE,6,0,47,0,3
1,PROTECTION,9,0,31,0,19
2,PROXIMITY,8,0,45,0,5
2,DEGREE,7,0,42,0,8
2,PROTECTION,7,0,36,0,14
3,PROXIMITY,8,0,46,0,4
3,DEGREE,9,0,45,0,5
3,PROTECTION,8,0,32,0,18
4,PROXIMITY,7,0,44,0,6
4,DEGREE,7,0,42,0,8
4,PROTECTION,7,0,35,0,15
5,PROXIMITY,7,0,45,0,5
5,DEGREE,7,0,44,0,6
5,PROTECTION,6,0,38,0,12
6,PROXIMITY,7,0,44,0,6
6,DEGREE,9,0,43,0,7
6,PROTECTION,6,0,35,0,15
7,PROXIMITY,10,0,44,0,6
7,DEGREE,8,0,44,0,6
7,PROTECTION,7,0,35,0,15
8,PROXIMITY,11,0,38,0,12
8,DEGREE,9,0,43,0,7
8,PROTECTION,10,0,32,0,18
9,PROXIMITY,10,0,43,0,7
9,DEGREE,9,0,41,0,9
9,PROTECTION,8,0,31,0,19
10,PROXIMITY,8,0,44,0,6
10,DEGREE,9,0,42,0,8
10,PROTECTION,6,0,32,0,18
11,PROXIMITY,9,0,43,0,7
11,DEGREE,9,0,41,0,9
11,PROTECTION,9,0,28,0,22
12,PROXIMITY,7,0,40,0,10
12,DEGREE,7,0,40,0,10
12,PROTECTION,7,0,30,0,20
13,PROXIMITY,11,0,38,0,12
13,DEGREE,11,0,37,0,13
13,PROTECTION,12,0,28,0,22
14,PROXIMITY,8,0,44,0,6
14,DEGREE,6,0,45,0,5
14,PROTECTION,6,0,35,0,15
15,PROXIMITY,6,0,47,0,3
15,DEGREE,6,0,46,0,4
15,PROTECTION,6,0,33,0,17
16,PROXIMITY,9,0,42,0,8
16,DEGREE,9,0,43,0,7
16,PROTECTION,7,0,31,0,19
17,PROXIMITY,7,0,43,0,7
17,DEGREE,7,0,45,0,5
17,PROTECTION,8,0,38,0,12
18,PROXIMITY,7,0,44,0,6
18,DEGREE,7,0,43,0,7
18,PROTECTION,7,0,33,0,17
19,PROXIMITY,8,0,43,0,7
19,DEGREE,8,0,46,0,4
19,PROTECTION,8,0,34,0,16
20,PROXIMITY,6,0,47,0,3
20,DEGREE,6,0,47,0,3
20,PROTECTION,7,0,36,0,14
21,PROXIMITY,7,0,43,0,7
21,DEGREE,9,0,42,0,8
21,PROTECTION,7,0,35,0,15
22,PROXIMITY,7,0,45,0,5
22,DEGREE,7,0,44,0,6
22,PROTECTION,8,0,31,0,19
23,PROXIMITY,8,0,42,0,8
23,DEGREE,9,0,43,0,7
23,PROTECTION,7,0,35,0,15
24,PROXIMITY,10,0,41,0,9
24,DEGREE,8,0,44,0,6
24,PROTECTION,8,0,34,0,16
25,PROXIMITY,7,0,45,0,5
25,DEGREE,7,0,45,0,5
25,PROTECTION,7,0,37,0,13
26,PROXIMITY,9,0,40,0,10
26,DEGREE,9,0,43,0,7
26,PROTECTION,9,0,35,0,15
27,PROXIMITY,8,0,45,0,5
27,DEGREE,9,0,41,0,9
27,PROTECTION,8,0,34,0,16
28,PROXIMITY,9,0,41,0,9
28,DEGREE,8,0,42,0,8
28,PROTECTION,7,0,32,0,18
29,PROXIMITY,9,0,41,0,9
29,DEGREE,7,0,41,0,9
29,PROTECTION,7,0,33,0,17
30,PROXIMITY,9,0,37,0,13
30,DEGREE,7,0,43,0,7
30,PROTECTION,8,0,31,0,19
31,PROXIMITY,6,0,47,0,3
31,DEGREE,5,0,47,0,3
31,PROTECTION,6,0,36,0,14
32,PROXIMITY,9,0,44,0,6
32,DEGREE,7,0,44,0,6
32,PROTECTION,9,0,30,0,20
33,PROXIMITY,8,0,42,0,8
33,DEGREE,8,0,42,0,8
33,PROTECTION,9,0,32,0,18
34,PROXIMITY,11,0,42,0,8
34,DEGREE,8,0,42,0,8
34,PROTECTION,9,0,29,0,21
35,PROXIMITY,6,0,47,0,3
35,DEGREE,6,0,46,0,4
35,PROTECTION,7,0,34,0,16
36,PROXIMITY,10,0,37,0,13
36,DEGREE,9,0,42,0,8
36,PROTECTION,9,0,32,0,18
37,PROXIMITY,11,0,40,0,10
37,DEGREE,7,0,43,0,7
37,PROTECTION,8,0,33,0,17
38,PROXIMITY,7,0,44,0,6
38,DEGREE,7,0,43,0,7
38,PROTECTION,9,0,32,0,18
39,PROXIMITY,10,0,40,0,10
39,DEGREE,11,0,40,0,10
39,PROTECTION,11,0,30,0,20
40,PROXIMITY,9,0,42,0,8
40,DEGREE,8,0,45,0,5
40,PROTECTION,8,0,33,0,17
41,PROXIMITY,8,0,44,0,6
41,DEGREE,9,0,41,0,9
41,PROTECTION,8,0,37,0,13
42,PROXIMITY,11,0,41,0,9
42,DEGREE,9,0,41,0,9
42,PROTECTION,8,0,31,0,19
43,PROXIMITY,9,0,43,0,7
43,DEGREE,8,0,44,0,6
43,PROTECTION,6,0,35,0,15
44,PROXIMITY,7,0,45,0,5
44,DEGREE,7,0,44,0,6
44,PROTECTION,6,0,34,0,16
45,PROXIMITY,6,0,46,0,4
45,DEGREE,6,0,45,0,5
45,PROTECTION,7,0,34,0,16
46,PROXIMITY,9,0,39,0,11
46,DEGREE,7,0,39,0,11
46,PROTECTION,8,0,34,0,16
47,PROXIMITY,8,0,42,0,8
47,DEGREE,8,0,44,0,6
47,PROTECTION,8,0,31,0,19
48,PROXIMITY,8,0,44,0,6
48,DEGREE,8,0,44,0,6
48,PROTECTION,9,0,31,0,19
49,PROXIMITY,10,0,45,0,5
49,DEGREE,8,0,44,0,6
49,PROTECTION,8,0,35,0,15

