OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROTECTION,6,0,34,0,16
1,PROTECTION,8,0,32,0,18
2,PROTECTION,6,0,36,0,14
3,PROTECTION,7,0,35,0,15
4,PROTECTION,7,0,34,0,16
5,PROTECTION,6,0,33,0,17
6,PROTECTION,6,0,37,0,13
7,PROTECTION,7,0,34,0,16
8,PROTECTION,8,0,33,0,17
9,PROTECTION,8,0,34,0,16
10,PROTECTION,7,0,29,0,21
11,PROTECTION,8,0,32,0,18
12,PROTECTION,6,0,36,0,14
13,PROTECTION,6,0,39,0,11
14,PROTECTION,7,0,34,0,16
15,PROTECTION,6,0,37,0,13
16,PROXIMITY,45,0,1,0,49
17,PROTECTION,7,0,36,0,14
18,PROTECTION,8,0,30,0,20
19,PROTECTION,7,0,35,0,15
20,PROTECTION,8,0,33,0,17
21,PROTECTION,7,0,36,0,14
22,PROTECTION,6,0,35,0,15
23,PROTECTION,7,0,34,0,16
24,PROTECTION,6,0,29,0,21
25,PROTECTION,9,0,30,0,20
26,PROTECTION,6,0,33,0,17
27,PROTECTION,9,0,31,0,19
28,PROTECTION,8,0,34,0,16
29,PROTECTION,7,0,33,0,17
30,PROTECTION,6,0,33,0,17
31,PROTECTION,7,0,33,0,17
32,PROTECTION,7,0,32,0,18
33,PROTECTION,8,0,32,0,18
34,PROTECTION,7,0,35,0,15
35,PROTECTION,7,0,31,0,19
36,PROTECTION,6,0,34,0,16
37,PROTECTION,7,0,32,0,18
38,PROTECTION,9,0,31,0,19
39,PROTECTION,6,0,35,0,15
40,PROTECTION,7,0,34,0,16
41,PROTECTION,6,0,37,0,13
42,PROTECTION,6,0,36,0,14
43,PROTECTION,6,0,37,0,13
44,PROTECTION,8,0,29,0,21
45,PROTECTION,6,0,33,0,17
46,PROTECTION,8,0,35,0,15
47,PROTECTION,6,0,37,0,13
48,PROTECTION,7,0,33,0,17
49,PROTECTION,6,0,34,0,16

